sample_idx,os_mm,ro_mm,os_pm,ro_pm
669,0.027180,0.013585,0.003801,0.059769
670,0.009923,0.004556,0.003703,0.007798
671,0.018435,0.008257,0.003280,0.378124
672,0.015196,0.004874,0.002942,0.406592
673,0.015530,0.004701,0.003023,0.483001
674,0.020436,0.010738,0.003011,0.379580
675,0.015716,0.007841,0.003181,0.406386
676,0.020503,0.010367,0.003212,0.357014
677,0.020188,0.013065,0.003342,0.070225
678,0.018185,0.009999,0.003499,0.204301
679,0.018416,0.009912,0.003553,0.264932
680,0.016815,0.008330,0.003504,0.113994
681,0.022572,0.015675,0.003623,0.076491
682,0.011950,0.005287,0.049898,2.586277
683,0.025271,0.015566,0.005513,0.055067
684,0.024420,0.012196,0.006221,0.065046
685,0.007241,0.003127,nan,nan
686,0.024818,0.011713,0.007376,0.185885
687,0.023106,0.011687,0.006221,0.060378
688,0.024641,0.012991,0.006781,0.093141
689,0.029912,0.014783,0.007371,0.032301
690,0.023485,0.010630,0.007197,0.129006
691,0.024382,0.012521,0.007285,0.118242
692,0.026876,0.014308,0.007168,0.133456
693,0.031093,0.018385,0.006978,0.019691
694,0.021085,0.011167,0.008318,0.327865
MEAN,0.023075,0.014950,0.015357,2.336281
