scaffold,P,sample_idx,species,nrmse
reduced4_AEIM,4,993,M,0.8604877967116098
reduced4_AEIM,4,592,A,0.09797007021605332
reduced4_AEIM,4,592,M,0.9355630580482568
reduced4_AEIM,4,701,A,0.1311696838693136
reduced4_AEIM,4,701,M,0.8333462130731419
reduced4_AEIM,4,427,A,0.10291879914329122
reduced4_AEIM,4,427,M,0.9787269589831576
reduced4_AEIM,4,457,A,0.10153101285522374
reduced4_AEIM,4,457,M,1.0027154838308474
reduced4_AEIM,4,454,A,0.11908912462615771
reduced4_AEIM,4,454,M,0.9155405811816878
reduced4_AEIM,4,151,A,0.0844733385421102
reduced4_AEIM,4,151,M,0.9234025242573629
reduced4_AEIM,4,756,A,0.07020020983362468
reduced4_AEIM,4,756,M,0.7277228998512125
reduced4_AEIM,4,250,A,0.0794701697117444
reduced4_AEIM,4,250,M,0.9568709777722604
reduced4_AEIM,4,904,A,0.2962848926564574
reduced4_AEIM,4,904,M,0.7675790395771755
reduced4_AEIM,4,324,A,0.1647634159828255
reduced4_AEIM,4,324,M,0.7237112085838546
reduced4_AEIM,4,439,A,0.07722049973006971
reduced4_AEIM,4,439,M,0.8456190647783512
reduced4_AEIM,4,650,A,0.13197933844922724
reduced4_AEIM,4,650,M,1.0750852339047596
reduced4_AEIM,4,238,A,0.12212479938132258
reduced4_AEIM,4,238,M,0.7920450592706695
reduced4_AEIM,4,498,A,0.109833433602569
reduced4_AEIM,4,498,M,0.8217323863253915
reduced4_AEIM,4,806,A,0.17043124772901802
reduced4_AEIM,4,806,M,0.9026772677429674
reduced4_AEIM,4,629,A,0.10927891145492134
reduced4_AEIM,4,629,M,0.870834154489661
reduced4_AEIM,4,468,A,0.10544788892608492
reduced4_AEIM,4,468,M,0.8790572572200142
reduced4_AEIM,4,343,A,0.35080944639615846
reduced4_AEIM,4,343,M,0.46437810262445073
reduced4_AEIM,4,664,A,0.1031409233875562
reduced4_AEIM,4,664,M,0.9714790598940339
reduced4_AEIM,4,671,A,0.10112077128619655
reduced4_AEIM,4,671,M,0.7839470772884964
reduced4_AEIM,4,652,A,0.10437753877681281
