scaffold,P,sample_idx,species,nrmse
reduced4_AEIM,4,903,A,0.049358255005116196
reduced4_AEIM,4,903,M,0.08276063343570537
reduced4_AEIM,4,626,A,0.04545862045853533
reduced4_AEIM,4,626,M,0.1511635110254199
reduced4_AEIM,4,51,A,0.0
reduced4_AEIM,4,51,M,0.31738857002338733
reduced4_AEIM,4,557,A,0.10377888615323058
reduced4_AEIM,4,557,M,0.17686318806695783
reduced4_AEIM,4,310,A,0.03637908136732606
reduced4_AEIM,4,310,M,0.0643252707976584
reduced4_AEIM,4,100,A,0.04984053609175617
reduced4_AEIM,4,100,M,0.11484734833475028
reduced4_AEIM,4,848,A,0.02739352113843986
reduced4_AEIM,4,848,M,0.23261675161532389
reduced4_AEIM,4,921,A,0.0
reduced4_AEIM,4,921,M,0.071372630024731
reduced4_AEIM,4,45,A,0.061042243684516606
reduced4_AEIM,4,45,M,0.14298303708883686
reduced4_AEIM,4,976,A,0.06696110916736984
reduced4_AEIM,4,976,M,0.16325938370803195
reduced4_AEIM,4,136,A,0.02856347192616833
reduced4_AEIM,4,136,M,0.11788855086769376
reduced4_AEIM,4,128,A,0.045746993657976485
reduced4_AEIM,4,128,M,0.6548989225366124
reduced4_AEIM,4,605,A,0.08792087487673476
reduced4_AEIM,4,605,M,0.23355479091541792
reduced4_AEIM,4,945,A,0.0
reduced4_AEIM,4,945,M,0.3397052413380186
reduced4_AEIM,4,773,A,0.03425495777976044
reduced4_AEIM,4,773,M,0.11079571006598121
reduced4_AEIM,4,941,A,0.08490771417440181
reduced4_AEIM,4,941,M,0.22049340104732013
reduced4_AEIM,4,613,A,0.02543368242878919
reduced4_AEIM,4,613,M,0.15550303920265088
reduced4_AEIM,4,98,A,0.0545166451587931
reduced4_AEIM,4,98,M,0.1958885799015276
reduced4_AEIM,4,758,A,0.036733909718761185
reduced4_AEIM,4,758,M,0.06777419346335954
reduced4_AEIM,4,595,A,0.06264593969664305
reduced4_AEIM,4,595,M,0.13430761869168198
reduced4_AEIM,4,470,A,0.05943942489126024
reduced4_AEIM,4,470,M,0.15357554258000922
reduced4_AEIM,4,25,A,0.0
reduced4_AEIM,4,25,M,0.4658615200556849
reduced4_AEIM,4,514,A,0.031745457777967806
reduced4_AEIM,4,514,M,0.44813932827431013
reduced4_AEIM,4,239,A,0.04442439480286399
reduced4_AEIM,4,239,M,0.10961748368824756
reduced4_AEIM,4,980,A,0.04043651906591594
reduced4_AEIM,4,980,M,0.10254570190756723
reduced4_AEIM,4,623,A,0.028377435313516865
reduced4_AEIM,4,623,M,0.13276855476884253
reduced4_AEIM,4,252,A,0.05539512241724135
reduced4_AEIM,4,252,M,0.10339987925849137
reduced4_AEIM,4,662,A,0.022016182862057646
reduced4_AEIM,4,662,M,0.17031458397552304
reduced4_AEIM,4,171,A,0.04971559252646554
reduced4_AEIM,4,171,M,0.10324404627914695
reduced4_AEIM,4,408,A,0.055799237563610785
reduced4_AEIM,4,408,M,0.12822328464669516
reduced4_AEIM,4,993,A,0.06521302755092391
reduced4_AEIM,4,993,M,0.11989822396795734
reduced4_AEIM,4,592,A,0.08106283544225243
reduced4_AEIM,4,592,M,0.19372578753595265
reduced4_AEIM,4,701,A,0.043189068071604025
reduced4_AEIM,4,701,M,0.1452746746191332
reduced4_AEIM,4,427,A,0.07208103338472256
reduced4_AEIM,4,427,M,0.1733287888790439
reduced4_AEIM,4,457,A,0.0988999811835402
reduced4_AEIM,4,457,M,0.14968331532110343
reduced4_AEIM,4,454,A,0.10492606008110328
reduced4_AEIM,4,454,M,0.17847035465581904
reduced4_AEIM,4,151,A,0.061331421227274606
reduced4_AEIM,4,151,M,0.14496952367920327
reduced4_AEIM,4,756,A,0.04824291289022608
reduced4_AEIM,4,756,M,0.13465067483347867
reduced4_AEIM,4,250,A,0.04228049046749821
reduced4_AEIM,4,250,M,0.10353697897269395
reduced4_AEIM,4,904,A,0.041999106479601096
