time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6
1.193979930877685547e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.204013347625732422e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.214046859741210938e+01,2.236068248748779297e+00,6.774039473384618759e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.224080276489257812e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.234113693237304688e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.244147109985351562e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.254180622100830078e+01,2.236068248748779297e+00,6.774039473384618759e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.264214038848876953e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.274247455596923828e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.284280967712402344e+01,2.236068248748779297e+00,6.774039473384618759e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.294314384460449219e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.304347801208496094e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.314381313323974609e+01,2.236068248748779297e+00,6.774039473384618759e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.324414730072021484e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.334448146820068359e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.344481563568115234e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.354515075683593750e+01,2.236068248748779297e+00,6.774039473384618759e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.364548492431640625e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.374581909179687500e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.384615421295166016e+01,2.236068248748779297e+00,6.774039473384618759e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.394648838043212891e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.404682254791259766e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.414715671539306641e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.424749183654785156e+01,2.236068248748779297e+00,6.774039473384618759e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.434782600402832031e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.444816017150878906e+01,2.236068248748779297e+00,6.774074397981166840e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
1.454849529266357422e+01,2.236068248748779297e+00,6.774039473384618759e-03,3.162277936935424805e+00,4.472136199474334717e-01,1.414213329553604126e-01,7.071065902709960938e-01,4.472136497497558594e-02
