time,theta_0,theta_1
3.255425643920898438e+01,7.840087413787841797e+00,1.872537136077880859e+00
3.305509185791015625e+01,7.864533901214599609e+00,1.829750061035156250e+00
3.355592727661132812e+01,7.887408256530761719e+00,1.789499282836914062e+00
3.405676269531250000e+01,7.908758640289306641e+00,1.751761555671691895e+00
3.455759429931640625e+01,1.441732525825500488e+00,8.131334304809570312e+00
3.505842971801757812e+01,1.945031046867370605e+00,7.839990615844726562e+00
3.555926513671875000e+01,2.383483409881591797e+00,7.569618701934814453e+00
3.606010055541992188e+01,2.857787847518920898e+00,7.247540950775146484e+00
3.656093597412109375e+01,3.432194709777832031e+00,6.802164077758789062e+00
3.706177139282226562e+01,4.159334659576416016e+00,6.113243579864501953e+00
3.756260299682617188e+01,5.031747817993164062e+00,5.038346290588378906e+00
3.806343841552734375e+01,6.213726997375488281e+00,4.063523292541503906e+00
3.856427383422851562e+01,6.999314785003662109e+00,3.200637578964233398e+00
3.906510925292968750e+01,7.462782859802246094e+00,2.584789752960205078e+00
3.956594467163085938e+01,7.757419109344482422e+00,2.150304555892944336e+00
4.006677627563476562e+01,7.959201335906982422e+00,1.833929896354675293e+00
4.056761169433593750e+01,8.105243682861328125e+00,1.596083283424377441e+00
4.106844711303710938e+01,8.215353012084960938e+00,1.412322878837585449e+00
4.156928253173828125e+01,8.301023483276367188e+00,1.266987681388854980e+00
4.207011795043945312e+01,1.259829878807067871e+00,8.295535087585449219e+00
4.257095336914062500e+01,1.685111999511718750e+00,8.054937362670898438e+00
4.307178497314453125e+01,2.070938825607299805e+00,7.831886768341064453e+00
4.357262039184570312e+01,2.570937633514404297e+00,7.511230945587158203e+00
4.407345581054687500e+01,3.474802255630493164e+00,6.804189682006835938e+00
4.457429122924804688e+01,7.148835182189941406e+00,3.091169118881225586e+00
4.507512664794921875e+01,7.861111164093017578e+00,2.128066301345825195e+00
4.557595825195312500e+01,8.181235313415527344e+00,1.618804931640625000e+00
4.607679367065429688e+01,8.375786781311035156e+00,1.289066195487976074e+00
4.657762908935546875e+01,8.509437561035156250e+00,1.057023048400878906e+00
4.707846450805664062e+01,8.607730865478515625e+00,8.858370184898376465e-01
4.757929992675781250e+01,8.683202743530273438e+00,7.555915117263793945e-01
4.808013534545898438e+01,8.742859840393066406e+00,6.542735695838928223e-01
4.858096694946289062e+01,8.791019439697265625e+00,5.740962028503417969e-01
4.908180236816406250e+01,8.830494880676269531e+00,5.097504854202270508e-01
4.958263778686523438e+01,8.863260269165039062e+00,4.574820399284362793e-01
5.008347320556640625e+01,8.890719413757324219e+00,4.145624041557312012e-01
5.058430862426757812e+01,3.914810419082641602e+00,6.367203235626220703e+00
5.108514022827148438e+01,7.379376888275146484e+00,2.769031524658203125e+00
5.158597564697265625e+01,8.004774093627929688e+00,1.877496361732482910e+00
5.208681106567382812e+01,8.295649528503417969e+00,1.410350203514099121e+00
5.258764648437500000e+01,8.478288650512695312e+00,1.105918526649475098e+00
5.308848190307617188e+01,8.607720375061035156e+00,8.895652294158935547e-01
5.358931732177734375e+01,8.705483436584472656e+00,7.288858294486999512e-01
5.409014892578125000e+01,8.782283782958984375e+00,6.063255667686462402e-01
5.459098434448242188e+01,8.844228744506835938e+00,5.111196637153625488e-01
5.509181976318359375e+01,8.895108222961425781e+00,4.361646473407745361e-01
5.559265518188476562e+01,8.937450408935546875e+00,3.765287399291992188e-01
5.609349060058593750e+01,8.973020553588867188e+00,3.286751806735992432e-01
5.659432220458984375e+01,9.003076553344726562e+00,2.900151312351226807e-01
5.709515762329101562e+01,9.028513908386230469e+00,2.586869895458221436e-01
5.759599304199218750e+01,9.049947738647460938e+00,2.333396077156066895e-01
5.809682846069335938e+01,9.067862510681152344e+00,2.129127979278564453e-01
5.859766387939453125e+01,9.082712173461914062e+00,1.965013295412063599e-01
5.909849929809570312e+01,9.094941139221191406e+00,1.833197176456451416e-01
5.959933090209960938e+01,9.104969978332519531e+00,1.727037280797958374e-01
6.010016632080078125e+01,9.113171577453613281e+00,1.641085743904113770e-01
6.060100173950195312e+01,9.119885444641113281e+00,1.571028828620910645e-01
6.110183715820312500e+01,9.125383377075195312e+00,1.513486206531524658e-01
6.160267257690429688e+01,9.129895210266113281e+00,1.465834975242614746e-01
6.210350418090820312e+01,9.133610725402832031e+00,1.426058411598205566e-01
6.260433959960937500e+01,9.136677742004394531e+00,1.392589062452316284e-01
6.310517501831054688e+01,9.139220237731933594e+00,1.364211440086364746e-01
6.360601043701171875e+01,9.141334533691406250e+00,1.339972168207168579e-01
6.410684204101562500e+01,9.143099784851074219e+00,1.319139450788497925e-01
6.460768127441406250e+01,9.180629730224609375e+00,1.077036783099174500e-01
6.510851287841796875e+01,9.180438041687011719e+00,1.092479526996612549e-01
6.560935211181640625e+01,9.181038856506347656e+00,1.092997416853904724e-01
6.611018371582031250e+01,9.181551933288574219e+00,1.089620292186737061e-01
6.661101531982421875e+01,9.181985855102539062e+00,1.085116267204284668e-01
6.711185455322265625e+01,9.182350158691406250e+00,1.080373749136924744e-01
6.761268615722656250e+01,9.182654380798339844e+00,1.075745075941085815e-01
6.811352539062500000e+01,9.182910919189453125e+00,1.071382164955139160e-01
6.861435699462890625e+01,9.183127403259277344e+00,1.067352518439292908e-01
6.911518859863281250e+01,9.183307647705078125e+00,1.063661798834800720e-01
6.961602783203125000e+01,9.183458328247070312e+00,1.060314849019050598e-01
7.011685943603515625e+01,9.183587074279785156e+00,1.057288497686386108e-01
7.061769866943359375e+01,9.239128112792968750e+00,8.091522753238677979e-02
7.111853027343750000e+01,9.240078926086425781e+00,8.198758959770202637e-02
7.161936187744140625e+01,9.240606307983398438e+00,8.240930736064910889e-02
7.212020111083984375e+01,9.240865707397460938e+00,8.259977400302886963e-02
7.262103271484375000e+01,9.241001129150390625e+00,8.268456161022186279e-02
7.312187194824218750e+01,9.241066932678222656e+00,8.271381258964538574e-02
7.362270355224609375e+01,9.241095542907714844e+00,8.271209150552749634e-02
7.412354278564453125e+01,9.241098403930664062e+00,8.269433677196502686e-02
7.462437438964843750e+01,9.241091728210449219e+00,8.266779035329818726e-02
7.512520599365234375e+01,9.241075515747070312e+00,8.263812214136123657e-02
7.562604522705078125e+01,9.241055488586425781e+00,8.260750025510787964e-02
7.612687683105468750e+01,9.241033554077148438e+00,8.257789909839630127e-02
