time,theta_0,theta_1,theta_2,theta_3
9.616027069091796875e+01,8.136932373046875000e+00,9.101266860961914062e+00,1.231168150901794434e+00,1.303362846374511719e-01
9.666110229492187500e+01,8.130311012268066406e+00,9.106016159057617188e+00,1.241281270980834961e+00,1.269384324550628662e-01
9.716193389892578125e+01,8.124403953552246094e+00,9.110132217407226562e+00,1.250355958938598633e+00,1.240350082516670227e-01
9.766277313232421875e+01,8.119134902954101562e+00,9.113699913024902344e+00,1.258485078811645508e+00,1.215465813875198364e-01
9.816360473632812500e+01,8.114426612854003906e+00,9.116804122924804688e+00,1.265776634216308594e+00,1.194067969918251038e-01
9.866444396972656250e+01,8.110244750976562500e+00,9.119498252868652344e+00,1.272282481193542480e+00,1.175610423088073730e-01
9.916527557373046875e+01,8.106504440307617188e+00,9.121850013732910156e+00,1.278104305267333984e+00,1.159663349390029907e-01
9.966610717773437500e+01,8.103187561035156250e+00,9.123895645141601562e+00,1.283292174339294434e+00,1.145836859941482544e-01
1.001669464111328125e+02,8.100247383117675781e+00,9.125683784484863281e+00,1.287905573844909668e+00,1.133831590414047241e-01
1.006677780151367188e+02,8.097619056701660156e+00,9.127250671386718750e+00,1.292026638984680176e+00,1.123391389846801758e-01
1.011686172485351562e+02,8.095303535461425781e+00,9.128616333007812500e+00,1.295679211616516113e+00,1.114292666316032410e-01
1.016694488525390625e+02,8.093235969543457031e+00,9.129815101623535156e+00,1.298936247825622559e+00,1.106359362602233887e-01
1.021702804565429688e+02,8.091405868530273438e+00,9.130864143371582031e+00,1.301822304725646973e+00,1.099425479769706726e-01
1.026711196899414062e+02,8.089796066284179688e+00,9.131785392761230469e+00,1.304376125335693359e+00,1.093357279896736145e-01
1.031719512939453125e+02,8.088354110717773438e+00,9.132593154907226562e+00,1.306654095649719238e+00,1.088047921657562256e-01
1.036727905273437500e+02,8.087092399597167969e+00,9.133302688598632812e+00,1.308658599853515625e+00,1.083391830325126648e-01
1.041736221313476562e+02,8.085962295532226562e+00,9.133929252624511719e+00,1.310448169708251953e+00,1.079314425587654114e-01
1.046744537353515625e+02,8.084968566894531250e+00,9.134478569030761719e+00,1.312025189399719238e+00,1.075732484459877014e-01
1.051752929687500000e+02,8.084097862243652344e+00,9.134955406188964844e+00,1.313412785530090332e+00,1.072587147355079651e-01
1.056761245727539062e+02,8.083313941955566406e+00,9.135383605957031250e+00,1.314655542373657227e+00,1.069828942418098450e-01
1.061769638061523438e+02,8.082635879516601562e+00,9.135755538940429688e+00,1.315740108489990234e+00,1.067396253347396851e-01
1.066777954101562500e+02,8.082023620605468750e+00,9.136082649230957031e+00,1.316713094711303711e+00,1.065263152122497559e-01
1.071786346435546875e+02,8.081494331359863281e+00,9.136370658874511719e+00,1.317557692527770996e+00,1.063383892178535461e-01
1.076794662475585938e+02,8.081011772155761719e+00,9.136630058288574219e+00,1.318320989608764648e+00,1.061731725931167603e-01
1.081802978515625000e+02,8.080594062805175781e+00,9.136852264404296875e+00,1.318986058235168457e+00,1.060279831290245056e-01
1.086811370849609375e+02,8.080233573913574219e+00,9.137048721313476562e+00,1.319567561149597168e+00,1.058992594480514526e-01
1.091819686889648438e+02,8.079899787902832031e+00,9.137223243713378906e+00,1.320095896720886230e+00,1.057867780327796936e-01
1.096828079223632812e+02,8.079620361328125000e+00,9.137373924255371094e+00,1.320545434951782227e+00,1.056873500347137451e-01
1.101836395263671875e+02,8.079360008239746094e+00,9.137512207031250000e+00,1.320958375930786133e+00,1.055998951196670532e-01
1.106844711303710938e+02,8.079133987426757812e+00,9.137631416320800781e+00,1.321315884590148926e+00,1.055229529738426208e-01
1.111853103637695312e+02,8.078942298889160156e+00,9.137735366821289062e+00,1.321623921394348145e+00,1.054547131061553955e-01
1.116861419677734375e+02,8.078762054443359375e+00,9.137828826904296875e+00,1.321910858154296875e+00,1.053949892520904541e-01
1.121869812011718750e+02,8.078616142272949219e+00,9.137909889221191406e+00,1.322147965431213379e+00,1.053421497344970703e-01
1.126878128051757812e+02,8.078471183776855469e+00,9.137983322143554688e+00,1.322374463081359863e+00,1.052958965301513672e-01
1.131886444091796875e+02,8.078351974487304688e+00,9.138046264648437500e+00,1.322565436363220215e+00,1.052547693252563477e-01
1.136894836425781250e+02,8.078254699707031250e+00,9.138100624084472656e+00,1.322725653648376465e+00,1.052187755703926086e-01
1.141903152465820312e+02,8.078154563903808594e+00,9.138151168823242188e+00,1.322883605957031250e+00,1.051866039633750916e-01
1.146911544799804688e+02,8.078077316284179688e+00,9.138194084167480469e+00,1.323006510734558105e+00,1.051585301756858826e-01
1.151919860839843750e+02,8.077997207641601562e+00,9.138234138488769531e+00,1.323132157325744629e+00,1.051338762044906616e-01
1.156928176879882812e+02,8.077933311462402344e+00,9.138265609741210938e+00,1.323233962059020996e+00,1.051120907068252563e-01
1.161936569213867188e+02,8.077884674072265625e+00,9.138293266296386719e+00,1.323316216468811035e+00,1.050923168659210205e-01
1.166944885253906250e+02,8.077826499938964844e+00,9.138322830200195312e+00,1.323403477668762207e+00,1.050758063793182373e-01
1.171953277587890625e+02,8.077792167663574219e+00,9.138345718383789062e+00,1.323465347290039062e+00,1.050603836774826050e-01
1.176961593627929688e+02,8.077744483947753906e+00,9.138366699218750000e+00,1.323536157608032227e+00,1.050473079085350037e-01
1.181969985961914062e+02,8.077719688415527344e+00,9.138381958007812500e+00,1.323582530021667480e+00,1.050357073545455933e-01
1.186978302001953125e+02,8.077680587768554688e+00,9.138399124145507812e+00,1.323639154434204102e+00,1.050253137946128845e-01
1.191986618041992188e+02,8.077652931213378906e+00,9.138413429260253906e+00,1.323680996894836426e+00,1.050162762403488159e-01
1.196995010375976562e+02,8.077637672424316406e+00,9.138424873352050781e+00,1.323711276054382324e+00,1.050084978342056274e-01
1.202003326416015625e+02,8.077608108520507812e+00,9.138436317443847656e+00,1.323753595352172852e+00,1.050014123320579529e-01
1.207011718750000000e+02,8.077598571777343750e+00,9.138445854187011719e+00,1.323773503303527832e+00,1.049951761960983276e-01
1.212020034790039062e+02,8.077574729919433594e+00,9.138455390930175781e+00,1.323807358741760254e+00,1.049897223711013794e-01
1.217028350830078125e+02,8.077561378479003906e+00,9.138463020324707031e+00,1.323830604553222656e+00,1.049850806593894958e-01
1.222036743164062500e+02,6.749058246612548828e+00,8.930771827697753906e+00,8.897048950195312500e+00,4.641990959644317627e-01
1.227045059204101562e+02,6.817197799682617188e+00,9.065182685852050781e+00,8.763848304748535156e+00,3.024908900260925293e-01
1.232053451538085938e+02,6.162426948547363281e+00,9.174631118774414062e+00,9.172203063964843750e+00,2.218758016824722290e-01
1.237061767578125000e+02,3.729693174362182617e+00,9.257231712341308594e+00,9.098420143127441406e+00,1.292260885238647461e-01
1.242070083618164062e+02,2.989402055740356445e+00,9.197025299072265625e+00,8.188564300537109375e+00,1.189965084195137024e-01
1.247078475952148438e+02,3.232066154479980469e+00,9.173704147338867188e+00,7.471023082733154297e+00,1.196612641215324402e-01
1.252086791992187500e+02,3.863496541976928711e+00,9.158461570739746094e+00,6.731820106506347656e+00,1.217407062649726868e-01
1.257095184326171875e+02,5.119431972503662109e+00,9.149113655090332031e+00,5.706782817840576172e+00,1.210918053984642029e-01
1.262103500366210938e+02,6.357125282287597656e+00,9.145086288452148438e+00,4.457843780517578125e+00,1.181821078062057495e-01
1.267111816406250000e+02,7.089457035064697266e+00,9.142351150512695312e+00,3.429108858108520508e+00,1.163547858595848083e-01
1.272120208740234375e+02,7.481153011322021484e+00,9.138657569885253906e+00,2.736836671829223633e+00,1.162702068686485291e-01
1.277128524780273438e+02,7.702509880065917969e+00,9.133878707885742188e+00,2.289267301559448242e+00,1.175286397337913513e-01
1.282136840820312500e+02,7.837971210479736328e+00,9.128390312194824219e+00,1.992873311042785645e+00,1.197049021720886230e-01
1.287145233154296875e+02,7.926967620849609375e+00,9.122565269470214844e+00,1.788729429244995117e+00,1.224780529737472534e-01
