sample_idx,os_mm,ro_mm,os_pm,ro_pm
223,0.379203,0.006851,0.653815,0.508467
224,0.350480,0.020462,0.084899,1.058665
225,0.199574,0.012263,0.745414,0.516677
226,0.343823,0.009947,0.747444,0.492680
227,0.363395,0.026544,0.696835,0.372595
228,0.236501,0.018737,0.752228,0.645721
229,0.334756,0.006844,0.706697,0.530129
230,0.431569,0.004308,0.675411,0.437405
231,0.328268,0.020912,0.537528,0.760895
232,0.303432,0.029032,0.696811,0.473543
233,0.303950,0.039735,0.073952,0.942888
234,0.356932,0.006581,0.727124,0.348053
235,0.634773,0.004520,0.088117,1.092852
236,0.484957,0.022469,0.739540,0.294276
237,0.348759,0.025844,0.132262,1.220097
238,0.208040,0.027128,0.795221,0.655743
239,0.617398,0.013762,0.671092,0.371458
240,0.371864,0.019930,0.757330,0.043928
241,0.309365,0.016509,0.736961,0.122629
242,0.256345,0.015235,0.746701,0.384105
243,0.657636,0.010631,0.735550,0.204964
244,0.324351,0.008779,0.744805,0.274800
245,0.215110,0.009785,0.718755,0.377809
246,0.212552,0.008393,0.728542,0.380302
247,0.200534,0.007700,0.732165,0.382097
248,0.537938,0.023435,0.724634,0.321306
249,0.440695,0.028276,0.723033,0.293538
250,0.259933,0.015528,0.726330,0.334344
251,0.246022,0.016414,0.702610,0.375288
252,0.193033,0.013694,0.720487,0.468491
253,0.230668,0.013839,0.722359,0.443123
254,0.404648,0.025699,0.713601,0.286036
255,0.459634,0.030401,0.722216,0.340320
256,0.477354,0.033713,0.720659,0.339470
257,0.426280,0.025638,0.727018,0.407328
258,0.287293,0.018426,0.708619,0.369149
259,0.359828,0.012781,0.720448,0.315329
260,0.348458,0.026006,0.712152,0.231956
261,0.414341,0.032977,0.727613,0.219046
262,0.217856,0.022955,0.793533,0.289521
263,0.565613,0.006900,0.704049,0.159274
264,0.246040,0.012639,0.781428,0.366885
265,0.214271,0.012292,0.786161,0.416120
266,0.235024,0.013799,0.780064,0.401615
267,0.204459,0.016007,0.765896,0.460792
268,0.236523,0.011205,0.766910,0.390306
269,0.222769,0.014153,0.773989,0.376679
270,0.253153,0.014524,0.764722,0.354727
271,0.155323,0.018954,0.778163,0.467475
272,0.280137,0.011951,0.742435,0.196186
273,0.218014,0.014762,0.778973,0.433978
274,0.282504,0.013041,0.752883,0.393667
275,0.619479,0.002843,nan,nan
276,0.182035,0.013715,0.723724,0.638694
277,0.190289,0.018232,0.688122,0.616577
278,0.325625,0.025950,0.715780,0.630744
279,0.360996,0.036458,0.687370,0.615757
280,0.438003,0.045168,0.671758,0.568086
281,0.320774,0.046455,0.683963,0.603874
282,0.494086,0.043640,0.655177,0.598173
283,0.538535,0.031280,0.618083,0.555184
284,0.311937,0.017170,0.647780,0.551601
285,0.230578,0.018995,0.685185,0.613194
286,0.377072,0.032457,0.676997,0.620689
287,0.437359,0.030135,0.639400,0.576721
288,0.268902,0.023875,0.696312,0.576962
289,0.468535,0.008198,0.643306,0.175480
290,0.499203,0.034733,0.671883,0.584890
291,0.699422,0.020714,0.640939,0.510140
292,0.755002,0.013116,0.683456,0.491727
293,0.766146,0.011629,0.683069,0.423848
294,0.661269,0.026903,0.678238,0.530843
295,0.576757,0.029786,0.681345,0.472471
296,0.540079,0.015567,0.606781,0.254743
297,0.649954,0.009219,0.120949,0.483781
298,0.355136,0.016790,0.712511,0.290290
299,0.242988,0.016621,0.734383,0.648719
300,0.374330,0.003469,0.661453,0.438746
301,0.349988,0.002979,0.733042,0.329033
302,0.289888,0.005171,0.674274,0.523866
303,0.306614,0.005642,0.756998,0.373072
304,0.339992,0.006407,0.651163,0.361516
305,0.338358,0.006344,0.652951,0.267555
306,0.276606,0.006682,0.122668,1.119474
307,0.295247,0.008896,0.150536,1.234493
308,0.290392,0.004349,0.573942,0.190791
309,0.288181,0.003767,0.548088,0.357386
310,0.390432,0.009914,0.255030,0.264920
311,0.389692,0.011416,0.205535,0.183406
312,0.296397,0.010557,0.181852,0.953984
313,0.320951,0.013079,0.120579,0.879426
314,0.353299,0.014669,0.751839,0.198856
315,0.338462,0.019577,0.722491,0.185328
316,0.311275,0.008244,0.753493,0.401347
317,0.323534,0.010750,0.764485,0.297107
