time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
1.507537722587585449e+00,1.015632040798664093e-02,4.469147622585296631e-01,1.231682673096656799e-02,1.053372863680124283e-02,1.066166814416646957e-02,6.595234852284193039e-03,3.560501383617520332e-03,4.807177186012268066e-01
1.532663345336914062e+00,1.000881660729646683e-02,4.471960067749023438e-01,1.107760984450578690e-02,9.920841082930564880e-03,1.041858643293380737e-02,7.374684326350688934e-03,6.253974512219429016e-03,1.934955595061182976e-03
1.557788968086242676e+00,9.964530356228351593e-03,4.472856223583221436e-01,1.067196391522884369e-02,9.698607027530670166e-03,1.026817876845598221e-02,8.038751780986785889e-03,6.315793842077255249e-03,1.165960798971354961e-03
1.582914590835571289e+00,9.953712113201618195e-03,4.473084509372711182e-01,1.046803034842014313e-02,9.623802267014980316e-03,1.017714664340019226e-02,8.553536608815193176e-03,6.134588271379470825e-03,9.869261411949992180e-04
1.608040213584899902e+00,9.954153560101985931e-03,4.473078250885009766e-01,1.034266967326402664e-02,9.612698107957839966e-03,1.012183539569377899e-02,8.926960639655590057e-03,6.196353118866682053e-03,9.274222538806498051e-04
1.633165836334228516e+00,9.957970120012760162e-03,4.473002552986145020e-01,1.025932468473911285e-02,9.627698920667171478e-03,1.008773501962423325e-02,9.186963550746440887e-03,6.422562059015035629e-03,9.080970776267349720e-04
1.658291459083557129e+00,9.962572716176509857e-03,4.472906589508056641e-01,1.019923202693462372e-02,9.653313085436820984e-03,1.006506662815809250e-02,9.375345893204212189e-03,6.740081589668989182e-03,9.046258055604994297e-04
1.683417081832885742e+00,9.966910816729068756e-03,4.472817480564117432e-01,1.015739049762487411e-02,9.681220166385173798e-03,1.005032379180192947e-02,9.505284018814563751e-03,7.078140508383512497e-03,9.081915486603975296e-04
1.708542704582214355e+00,9.970708750188350677e-03,4.472737908363342285e-01,1.012746430933475494e-02,9.708096273243427277e-03,1.004027482122182846e-02,9.597579017281532288e-03,7.401850540190935135e-03,9.142328053712844849e-04
1.733668327331542969e+00,9.974147193133831024e-03,4.472667276859283447e-01,1.010454632341861725e-02,9.734431281685829163e-03,1.003279443830251694e-02,9.668404236435890198e-03,7.711695507168769836e-03,9.214655729010701180e-04
1.758793950080871582e+00,9.976910427212715149e-03,4.472610056400299072e-01,1.008873619139194489e-02,9.756973944604396820e-03,1.002769079059362411e-02,9.717684239149093628e-03,7.962237112224102020e-03,9.281039237976074219e-04
1.783919572830200195e+00,9.979246184229850769e-03,4.472561776638031006e-01,1.007679291069507599e-02,9.777149185538291931e-03,1.002382859587669373e-02,9.755634702742099762e-03,8.171502500772476196e-03,9.342139237560331821e-04
1.809045195579528809e+00,9.981469251215457916e-03,4.472515285015106201e-01,1.006674207746982574e-02,9.797417558729648590e-03,1.002051588147878647e-02,9.788583032786846161e-03,8.361044339835643768e-03,9.404139709658920765e-04
1.834170818328857422e+00,9.983172640204429626e-03,4.472480416297912598e-01,1.005981210619211197e-02,9.813801385462284088e-03,1.001817546784877777e-02,9.812122210860252380e-03,8.494635112583637238e-03,9.453604579903185368e-04
1.859296441078186035e+00,9.984634816646575928e-03,4.472450315952301025e-01,1.005439832806587219e-02,9.828453883528709412e-03,1.001627929508686066e-02,9.831272065639495850e-03,8.598453365266323090e-03,9.497137507423758507e-04
1.884422063827514648e+00,9.985901415348052979e-03,4.472423493862152100e-01,1.005006022751331329e-02,9.841688908636569977e-03,1.001470349729061127e-02,9.847274981439113617e-03,8.678863756358623505e-03,9.536031866446137428e-04
1.909547686576843262e+00,9.987068362534046173e-03,4.472400844097137451e-01,1.004636101424694061e-02,9.854330681264400482e-03,1.001330837607383728e-02,9.861531667411327362e-03,8.743309415876865387e-03,9.572414564900100231e-04
1.934673309326171875e+00,9.988073259592056274e-03,4.472379684448242188e-01,1.004339102655649185e-02,9.865539148449897766e-03,1.001214794814586639e-02,9.873455390334129333e-03,8.790593594312667847e-03,9.604327497072517872e-04
1.959799051284790039e+00,9.988972917199134827e-03,4.472360610961914062e-01,1.004088763147592545e-02,9.876049123704433441e-03,1.001111697405576706e-02,9.884024970233440399e-03,8.825335651636123657e-03,9.633898152969777584e-04
