time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
6.030150651931762695e-01,1.079673767089843750e+00,1.141584634780883789e+00,9.940044403076171875e+00,7.837459564208984375e+00,9.935191154479980469e+00,5.841749225510284305e-05,3.747419595718383789e+00,6.576720807061064988e-06
6.281406879425048828e-01,9.957990646362304688e-01,1.028755426406860352e+00,9.940309524536132812e+00,7.553690433502197266e+00,9.935238838195800781e+00,5.841536039952188730e-05,3.774481058120727539e+00,6.273336111917160451e-06
6.532663106918334961e-01,9.184900522232055664e-01,9.267526865005493164e-01,9.940555572509765625e+00,7.280202388763427734e+00,9.935285568237304688e+00,5.841516394866630435e-05,3.800933599472045898e+00,6.108903562562773004e-06
6.783919334411621094e-01,8.456509113311767578e-01,8.289487957954406738e-01,9.940811157226562500e+00,7.015966892242431641e+00,9.935342788696289062e+00,5.841442543896846473e-05,3.831238031387329102e+00,6.006733656249707565e-06
7.035176157951354980e-01,7.831419110298156738e-01,7.453643679618835449e-01,9.941096305847167969e+00,6.761643409729003906e+00,9.935390472412109375e+00,5.841534948558546603e-05,3.862745285034179688e+00,5.938404683547560126e-06
7.286432385444641113e-01,7.271108627319335938e-01,6.714948415756225586e-01,9.941370964050292969e+00,6.516981124877929688e+00,9.935456275939941406e+00,5.841852180310525000e-05,3.895310163497924805e+00,5.890269676456227899e-06
7.537688612937927246e-01,6.774368286132812500e-01,6.064427495002746582e-01,9.941683769226074219e+00,6.281536579132080078e+00,9.935503959655761719e+00,5.842318932991474867e-05,3.930128335952758789e+00,5.855050858372123912e-06
7.788944840431213379e-01,6.358985900878906250e-01,5.537550449371337891e-01,9.942006111145019531e+00,6.055211067199707031e+00,9.935570716857910156e+00,5.843013059347867966e-05,3.966861248016357422e+00,5.828783287142869085e-06
8.040201067924499512e-01,5.997066497802734375e-01,5.097399950027465820e-01,9.942357063293457031e+00,5.837707519531250000e+00,9.935636520385742188e+00,5.843964754603803158e-05,4.005308628082275391e+00,5.808930382045218721e-06
8.291457295417785645e-01,5.661730170249938965e-01,4.705356061458587646e-01,9.942717552185058594e+00,5.628757953643798828e+00,9.935703277587890625e+00,5.845230407430790365e-05,4.045331954956054688e+00,5.793833224743138999e-06
8.542713522911071777e-01,5.367866158485412598e-01,4.381918907165527344e-01,9.943105697631835938e+00,5.427913188934326172e+00,9.935760498046875000e+00,5.846791100339032710e-05,4.087563514709472656e+00,5.782343123428290710e-06
8.793969750404357910e-01,5.108779668807983398e-01,4.120639264583587646e-01,9.943532943725585938e+00,5.234953403472900391e+00,9.935826301574707031e+00,5.848709770361892879e-05,4.131623268127441406e+00,5.773690645582973957e-06
9.045225977897644043e-01,4.867087900638580322e-01,3.892844319343566895e-01,9.943978309631347656e+00,5.049547195434570312e+00,9.935893058776855469e+00,5.851009700563736260e-05,4.177719116210937500e+00,5.767311449744738638e-06
9.296482205390930176e-01,4.639847278594970703e-01,3.692489862442016602e-01,9.944461822509765625e+00,4.871357917785644531e+00,9.935977935791015625e+00,5.853729089722037315e-05,4.225904464721679688e+00,5.762793989561032504e-06
9.547738432884216309e-01,4.433668553829193115e-01,3.531728982925415039e-01,9.944993972778320312e+00,4.700097560882568359e+00,9.936062812805175781e+00,5.856909774593077600e-05,4.276341915130615234e+00,5.759821760875638574e-06
9.798995256423950195e-01,4.241349995136260986e-01,3.398061692714691162e-01,9.945543289184570312e+00,4.535480976104736328e+00,9.936138153076171875e+00,5.860593228135257959e-05,4.329003810882568359e+00,5.758144197898218408e-06
1.005025148391723633e+00,4.055473208427429199e-01,3.277373015880584717e-01,9.946141242980957031e+00,4.377172470092773438e+00,9.936223983764648438e+00,5.864838749403133988e-05,4.384266376495361328e+00,5.757591679866891354e-06
1.030150771141052246e+00,3.880203366279602051e-01,3.178532421588897705e-01,9.946728706359863281e+00,4.225021839141845703e+00,9.936318397521972656e+00,5.869727101526223123e-05,4.441635608673095703e+00,5.758026873081689700e-06
1.055276393890380859e+00,3.714601099491119385e-01,3.097616136074066162e-01,9.947288513183593750e+00,4.078588485717773438e+00,9.936423301696777344e+00,5.875270289834588766e-05,4.502039909362792969e+00,5.759333816968137398e-06
1.080402016639709473e+00,3.550403714179992676e-01,3.020921051502227783e-01,9.947782516479492188e+00,3.937751531600952148e+00,9.936517715454101562e+00,5.881605829927138984e-05,4.564901828765869141e+00,5.761415195593144745e-06
1.105527639389038086e+00,3.393125236034393311e-01,2.957224249839782715e-01,9.948009490966796875e+00,3.802267789840698242e+00,9.936613082885742188e+00,5.888761370442807674e-05,4.630244255065917969e+00,5.764215984527254477e-06
1.130653262138366699e+00,3.238075971603393555e-01,2.897609472274780273e-01,9.947696685791015625e+00,3.671711444854736328e+00,9.936717033386230469e+00,5.896866787225008011e-05,4.698493480682373047e+00,5.767672064393991604e-06
1.155778884887695312e+00,3.083814978599548340e-01,2.838575541973114014e-01,9.946168899536132812e+00,3.545820951461791992e+00,9.936811447143554688e+00,5.905993384658358991e-05,4.768970966339111328e+00,5.771757059847004712e-06
1.180904507637023926e+00,2.935485839843750000e-01,2.788468003273010254e-01,9.942186355590820312e+00,3.424265861511230469e+00,9.936896324157714844e+00,5.916078589507378638e-05,4.841037273406982422e+00,5.776450052508153021e-06
1.206030130386352539e+00,2.805516421794891357e-01,2.775136530399322510e-01,9.934177398681640625e+00,3.306392431259155273e+00,9.936944007873535156e+00,5.927132588112726808e-05,4.914084911346435547e+00,5.781718755315523595e-06
