time,theta_0,theta_1
3.205342102050781250e+01,8.855139732360839844e+00,1.923162788152694702e-01
3.255425643920898438e+01,8.856369972229003906e+00,1.912852376699447632e-01
3.305509185791015625e+01,8.857108116149902344e+00,1.906927525997161865e-01
3.355592727661132812e+01,8.857472419738769531e+00,1.904293745756149292e-01
3.405676269531250000e+01,8.857563972473144531e+00,1.904114186763763428e-01
3.455759429931640625e+01,1.598719239234924316e+00,8.017748832702636719e+00
3.505842971801757812e+01,2.304507732391357422e+00,7.593079566955566406e+00
3.555926513671875000e+01,2.952398300170898438e+00,7.156511306762695312e+00
3.606010055541992188e+01,3.518288612365722656e+00,6.717959880828857422e+00
3.656093597412109375e+01,4.060177803039550781e+00,6.216177463531494141e+00
3.706177139282226562e+01,4.564412117004394531e+00,5.639955043792724609e+00
3.756260299682617188e+01,5.024511814117431641e+00,5.026448249816894531e+00
3.806343841552734375e+01,5.632812976837158203e+00,4.569775581359863281e+00
3.856427383422851562e+01,6.197230815887451172e+00,4.077802658081054688e+00
3.906510925292968750e+01,6.679563999176025391e+00,3.560788154602050781e+00
3.956594467163085938e+01,7.079233646392822266e+00,3.050007581710815430e+00
4.006677627563476562e+01,7.406030178070068359e+00,2.568982601165771484e+00
4.056761169433593750e+01,7.673246383666992188e+00,2.131681442260742188e+00
4.106844711303710938e+01,7.893629550933837891e+00,1.744373559951782227e+00
4.156928253173828125e+01,8.077792167663574219e+00,1.408228754997253418e+00
4.207011795043945312e+01,1.922630548477172852e+00,7.829064369201660156e+00
4.257095336914062500e+01,2.763940095901489258e+00,7.294497966766357422e+00
4.307178497314453125e+01,3.561969995498657227e+00,6.682078361511230469e+00
4.357262039184570312e+01,4.213701725006103516e+00,6.054122447967529297e+00
4.407345581054687500e+01,4.781017303466796875e+00,5.348500251770019531e+00
4.457429122924804688e+01,5.414093971252441406e+00,4.734137058258056641e+00
4.507512664794921875e+01,6.100007534027099609e+00,4.170659065246582031e+00
4.557595825195312500e+01,6.676409721374511719e+00,3.565594196319580078e+00
4.607679367065429688e+01,7.137092590332031250e+00,2.972632169723510742e+00
4.657762908935546875e+01,7.497620582580566406e+00,2.430751323699951172e+00
4.707846450805664062e+01,7.779783725738525391e+00,1.958915710449218750e+00
4.757929992675781250e+01,8.003381729125976562e+00,1.561141848564147949e+00
4.808013534545898438e+01,8.183834075927734375e+00,1.233011484146118164e+00
4.858096694946289062e+01,8.332386016845703125e+00,9.663695693016052246e-01
4.908180236816406250e+01,8.457083702087402344e+00,7.520583868026733398e-01
4.958263778686523438e+01,8.563406944274902344e+00,5.817622542381286621e-01
5.008347320556640625e+01,8.652705192565917969e+00,4.518402516841888428e-01
5.058430862426757812e+01,4.794952392578125000e+00,5.328829288482666016e+00
5.108514022827148438e+01,5.736279487609863281e+00,4.487466812133789062e+00
5.158597564697265625e+01,6.436141967773437500e+00,3.835527896881103516e+00
5.208681106567382812e+01,6.955466270446777344e+00,3.223516464233398438e+00
5.258764648437500000e+01,7.352765083312988281e+00,2.667109727859497070e+00
5.308848190307617188e+01,7.660792350769042969e+00,2.179970741271972656e+00
5.358931732177734375e+01,7.903035163879394531e+00,1.766003847122192383e+00
5.409014892578125000e+01,8.096801757812500000e+00,1.421540975570678711e+00
5.459098434448242188e+01,8.254641532897949219e+00,1.138971924781799316e+00
5.509181976318359375e+01,8.385553359985351562e+00,9.093835949897766113e-01
5.559265518188476562e+01,8.496006011962890625e+00,7.240358591079711914e-01
5.609349060058593750e+01,8.590618133544921875e+00,5.751495957374572754e-01
5.659432220458984375e+01,8.671797752380371094e+00,4.575436115264892578e-01
5.709515762329101562e+01,8.739175796508789062e+00,3.691315650939941406e-01
5.759599304199218750e+01,8.792397499084472656e+00,3.062632977962493896e-01
5.809682846069335938e+01,8.833146095275878906e+00,2.626887857913970947e-01
5.859766387939453125e+01,8.864111900329589844e+00,2.323628365993499756e-01
