time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10
1.312187042236328125e+02,7.484368801116943359e+00,8.078514099121093750e+00,8.684904098510742188e+00,7.361021637916564941e-01,6.057788848876953125e+00,5.335353851318359375e+00,2.015282869338989258e+00,1.184939146041870117e+00,3.419456779956817627e-01,4.123267173767089844e+00,4.927772998809814453e+00
1.317195281982421875e+02,7.303296566009521484e+00,8.089664459228515625e+00,8.532130241394042969e+00,1.487456917762756348e+00,5.944397449493408203e+00,5.286172866821289062e+00,2.244772911071777344e+00,1.157855749130249023e+00,5.744868516921997070e-01,4.212587356567382812e+00,4.945581912994384766e+00
1.322203674316406250e+02,7.731562137603759766e+00,8.275394439697265625e+00,8.444239616394042969e+00,9.460698962211608887e-01,5.916566371917724609e+00,5.249806880950927734e+00,1.676926374435424805e+00,9.310577511787414551e-01,8.406195640563964844e-01,4.245223045349121094e+00,4.979934692382812500e+00
1.327212066650390625e+02,7.902727127075195312e+00,8.384418487548828125e+00,8.438112258911132812e+00,5.512394905090332031e-01,5.942937374114990234e+00,5.249492645263671875e+00,1.449315786361694336e+00,8.076391220092773438e-01,1.002806901931762695e+00,4.222933292388916016e+00,4.986483573913574219e+00
1.332220306396484375e+02,7.973603725433349609e+00,8.443174362182617188e+00,8.450357437133789062e+00,3.597334325313568115e-01,5.975490570068359375e+00,5.258158683776855469e+00,1.329329848289489746e+00,7.352479696273803711e-01,1.061680078506469727e+00,4.192582607269287109e+00,4.984275817871093750e+00
1.337228698730468750e+02,7.989253520965576172e+00,8.470480918884277344e+00,8.467963218688964844e+00,2.876559495925903320e-01,6.003948688507080078e+00,5.267510414123535156e+00,1.278427004814147949e+00,6.954310536384582520e-01,1.063033223152160645e+00,4.165153503417968750e+00,4.980228424072265625e+00
1.342237091064453125e+02,7.973647594451904297e+00,8.476739883422851562e+00,8.487678527832031250e+00,2.633727788925170898e-01,6.027134895324707031e+00,5.275525093078613281e+00,1.270668864250183105e+00,6.826407909393310547e-01,1.042204856872558594e+00,4.142400264739990234e+00,4.976401805877685547e+00
1.347245483398437500e+02,7.941534042358398438e+00,8.472574234008789062e+00,8.507989883422851562e+00,2.551182210445404053e-01,6.045930385589599609e+00,5.282052993774414062e+00,1.283478617668151855e+00,6.833560466766357422e-01,1.014619112014770508e+00,4.123739719390869141e+00,4.973214149475097656e+00
1.352253723144531250e+02,7.898338317871093750e+00,8.463361740112304688e+00,8.528829574584960938e+00,2.522187530994415283e-01,6.061400890350341797e+00,5.287370204925537109e+00,1.307535648345947266e+00,6.900264620780944824e-01,9.846620559692382812e-01,4.108247756958007812e+00,4.970613956451416016e+00
1.357262115478515625e+02,7.845247745513916016e+00,8.450923919677734375e+00,8.550330162048339844e+00,2.511619627475738525e-01,6.074380397796630859e+00,5.291781425476074219e+00,1.340311884880065918e+00,6.996243000030517578e-01,9.537019133567810059e-01,4.095160961151123047e+00,4.968478679656982422e+00
1.362270507812500000e+02,7.781988620758056641e+00,8.435943603515625000e+00,8.572927474975585938e+00,2.507697641849517822e-01,6.085454463958740234e+00,5.295496940612792969e+00,1.382100462913513184e+00,7.111259102821350098e-01,9.223464727401733398e-01,4.083930015563964844e+00,4.966693878173828125e+00
1.367278747558593750e+02,7.708047389984130859e+00,8.418504714965820312e+00,8.597193717956542969e+00,2.506327629089355469e-01,6.095032215118408203e+00,5.298680305480957031e+00,1.434177517890930176e+00,7.241158485412597656e-01,8.909658789634704590e-01,4.074170589447021484e+00,4.965171337127685547e+00
1.372287139892578125e+02,7.623434066772460938e+00,8.398539543151855469e+00,8.624267578125000000e+00,2.505952417850494385e-01,6.103401184082031250e+00,5.301446914672851562e+00,1.498127102851867676e+00,7.382264733314514160e-01,8.599029779434204102e-01,4.065606117248535156e+00,4.963861942291259766e+00
1.377295532226562500e+02,7.529207706451416016e+00,8.376495361328125000e+00,8.656884193420410156e+00,2.505719661712646484e-01,6.110767841339111328e+00,5.303866863250732422e+00,1.575665235519409180e+00,7.528442144393920898e-01,8.296347856521606445e-01,4.058038234710693359e+00,4.962721347808837891e+00
1.382303771972656250e+02,7.430323123931884766e+00,8.354377746582031250e+00,8.703123092651367188e+00,2.504340112209320068e-01,6.117274761199951172e+00,5.305998325347900391e+00,1.667822837829589844e+00,7.653263807296752930e-01,8.013196587562561035e-01,4.051320075988769531e+00,4.961717128753662109e+00
1.387312164306640625e+02,7.327056407928466797e+00,8.333541870117187500e+00,8.753907203674316406e+00,2.502353787422180176e-01,6.123055934906005859e+00,5.307895660400390625e+00,1.780414700508117676e+00,7.758942842483520508e-01,7.739762067794799805e-01,4.045337677001953125e+00,4.960834980010986328e+00
1.392320556640625000e+02,7.214554309844970703e+00,8.310815811157226562e+00,8.796392440795898438e+00,2.500658631324768066e-01,6.128208160400390625e+00,5.309577941894531250e+00,1.918968439102172852e+00,7.887264490127563477e-01,7.461216449737548828e-01,4.040003776550292969e+00,4.960052490234375000e+00
1.397328948974609375e+02,7.093097686767578125e+00,8.284028053283691406e+00,8.830185890197753906e+00,2.498725950717926025e-01,6.132808208465576172e+00,5.311076164245605469e+00,2.084349632263183594e+00,8.059289455413818359e-01,7.178639769554138184e-01,4.035239696502685547e+00,4.959353923797607422e+00
1.402337188720703125e+02,6.964318752288818359e+00,8.251975059509277344e+00,8.856206893920898438e+00,2.495724707841873169e-01,6.136917591094970703e+00,5.312408924102783203e+00,2.274917125701904297e+00,8.292159438133239746e-01,6.895239353179931641e-01,4.030983924865722656e+00,4.958727359771728516e+00
1.407345581054687500e+02,6.831481456756591797e+00,8.214435577392578125e+00,8.875612258911132812e+00,2.490528523921966553e-01,6.140589237213134766e+00,5.313601493835449219e+00,2.486830472946166992e+00,8.599348664283752441e-01,6.615746617317199707e-01,4.027177810668945312e+00,4.958172798156738281e+00
1.412353973388671875e+02,6.696639537811279297e+00,8.170892715454101562e+00,8.888392448425292969e+00,2.481890916824340820e-01,6.143870830535888672e+00,5.314663410186767578e+00,2.713121175765991211e+00,9.001460075378417969e-01,6.344556808471679688e-01,4.023774147033691406e+00,4.957674503326416016e+00
1.417362213134765625e+02,6.610834598541259766e+00,8.174755096435546875e+00,8.941577911376953125e+00,2.451390326023101807e-01,6.240423202514648438e+00,5.455977439880371094e+00,2.988670825958251953e+00,9.353796243667602539e-01,6.175197362899780273e-01,3.919765710830688477e+00,4.825424671173095703e+00
1.422370605468750000e+02,6.463821411132812500e+00,8.103725433349609375e+00,8.924442291259765625e+00,2.434203475713729858e-01,6.234623908996582031e+00,5.371297836303710938e+00,3.205025672912597656e+00,1.007215619087219238e+00,5.914824008941650391e-01,3.929613828659057617e+00,4.914592266082763672e+00
1.427378997802734375e+02,6.324570655822753906e+00,8.028252601623535156e+00,8.904242515563964844e+00,2.409706413745880127e-01,6.210028648376464844e+00,5.345282077789306641e+00,3.407669544219970703e+00,1.092067837715148926e+00,5.682746767997741699e-01,3.956045150756835938e+00,4.938306808471679688e+00
