sample_idx,os_mm,ro_mm,os_pm,ro_pm
457,nan,nan,0.616816,0.434601
458,0.221487,0.045766,0.674625,0.590050
459,nan,nan,0.701449,0.646744
460,nan,nan,0.734880,0.626373
461,0.173779,0.010106,0.701952,0.640115
462,0.360365,0.001738,0.716134,0.341461
463,nan,nan,0.720222,0.665904
464,nan,nan,0.726081,0.640359
465,nan,nan,0.686497,0.635116
466,0.095839,0.026418,0.696326,0.651645
467,0.123290,0.029066,0.743558,0.698240
468,nan,nan,0.805173,0.656096
469,nan,nan,0.811987,0.650823
470,nan,nan,0.819758,0.651931
471,nan,nan,0.807646,0.655720
472,nan,nan,0.803720,0.656812
473,nan,nan,0.805365,0.636466
474,0.200339,0.050992,0.664649,0.599959
475,0.214594,0.020529,0.667118,0.592181
476,0.336244,0.001874,0.616842,0.517328
477,0.340584,0.003710,0.611455,0.505817
478,0.355770,0.001950,0.622175,0.511372
479,0.359517,0.003142,0.622415,0.504170
480,0.366958,0.002207,0.628321,0.476467
481,0.361984,0.001985,0.624522,0.490019
482,0.373163,0.003932,0.628967,0.486971
483,nan,nan,0.761258,0.638315
484,0.070056,0.015881,0.749896,0.698243
485,0.068787,0.031176,0.748570,0.697425
486,0.057793,0.019089,0.748590,0.689200
487,0.057793,0.024861,0.749031,0.696733
488,0.081731,0.026375,0.747974,0.700086
489,0.057793,0.024838,0.739610,0.691134
490,0.138917,0.030137,0.728771,0.664549
491,0.358485,0.012787,0.044766,1.693424
492,0.323071,0.019811,0.634351,0.598185
493,0.355850,0.003703,0.704505,0.650637
494,0.468779,0.006499,0.063613,1.598668
495,0.674562,0.018424,0.638340,0.350913
496,0.520148,0.006640,0.063309,1.674818
497,0.444334,0.021199,0.574534,0.550946
498,0.583114,0.005611,0.630647,0.349592
499,0.617315,0.017008,0.074202,1.631594
500,0.261393,0.006975,0.598410,0.572566
501,0.670896,0.003926,0.644328,0.213183
502,0.569072,0.004625,0.109833,1.232975
503,0.351243,0.015144,0.573428,0.507879
504,0.364779,0.008516,0.586864,0.507559
505,0.323359,0.010656,0.523429,0.459907
506,0.317710,0.021556,0.646267,0.631221
507,0.505207,0.018102,0.675739,0.588857
508,0.296887,0.006806,0.686708,0.545104
509,0.530436,0.023660,0.638790,0.470588
510,0.547802,0.042337,0.663432,0.517580
511,0.346602,0.008588,0.672120,0.560279
512,0.322668,0.012186,0.063892,1.174794
513,0.449373,0.009481,0.747507,0.260867
514,0.291750,0.044021,0.775188,0.566876
515,0.117180,0.036552,0.810359,0.636639
516,0.095839,0.024946,0.804778,0.627829
517,0.231973,0.046304,0.766186,0.631304
518,0.095572,0.032153,0.727116,0.660187
519,0.113250,0.023720,0.747621,0.676639
520,0.119143,0.029710,0.697922,0.620902
521,nan,nan,0.723840,0.644647
522,0.112329,0.031834,0.720071,0.641893
523,0.202046,0.027434,0.714173,0.594491
524,0.171837,0.020284,0.720602,0.661316
525,0.107034,0.019926,0.706703,0.647644
526,0.099356,0.018017,0.723733,0.638956
527,0.195549,0.010295,0.714166,0.674684
528,nan,nan,0.667944,0.645511
529,0.207062,0.023764,0.673309,0.612629
530,0.126089,0.021318,0.704176,0.649145
531,0.193757,0.047123,0.726341,0.565640
532,0.115586,0.030461,0.723457,0.684035
533,0.279944,0.004162,0.736181,0.564008
534,0.193066,0.035909,0.720190,0.637001
535,0.110034,0.030561,0.756794,0.702987
536,nan,nan,0.720559,0.609485
537,0.274136,0.022077,0.714815,0.502277
538,0.140246,0.043357,0.772710,0.674410
539,0.630740,0.010638,0.601966,0.491420
540,0.334559,0.021161,0.690288,0.305203
541,0.221676,0.006968,0.669475,0.564294
542,0.218898,0.007359,0.685904,0.351110
543,0.297391,0.020326,0.680443,0.249654
544,0.296293,0.014791,0.688512,0.418578
545,0.323961,0.014940,0.726186,0.310922
546,0.300380,0.014138,0.726186,0.276850
547,0.368824,0.009386,0.530220,0.289465
548,0.362491,0.008496,0.568276,0.283980
549,0.646841,0.018831,nan,nan
550,0.393783,0.009452,0.125662,0.124294
551,0.298291,0.018072,0.678292,0.210939
552,0.315087,0.018389,0.587131,0.303751
553,0.318542,0.020389,0.624707,0.367886
554,0.317813,0.012636,0.581293,0.471190
555,0.456925,0.007041,0.280193,0.232431
556,0.493374,0.006124,0.393981,0.265862
557,0.710534,0.039892,0.076671,0.149759
558,0.449748,0.013845,0.299831,0.255326
559,0.701418,0.026139,nan,nan
560,0.757942,0.010449,0.352820,0.184945
561,0.636033,0.017180,0.679047,0.337046
562,0.236603,0.014669,0.742310,0.476466
563,0.316505,0.009197,0.734424,0.255133
564,0.639982,0.031804,nan,nan
565,0.791427,0.011063,0.235692,0.764359
566,0.437848,0.017779,0.610269,0.437440
567,0.338981,0.013035,0.651053,0.573071
568,0.406298,0.050413,0.386704,0.252272
569,0.402783,0.018068,0.614432,0.290195
570,0.573153,0.009324,0.646745,0.194536
571,0.539020,0.002043,0.743283,0.083326
572,0.674766,0.018312,nan,nan
573,0.405040,0.008117,0.613285,0.293921
574,0.720773,0.012744,0.076453,0.927035
575,0.505623,0.006904,0.588981,0.337024
576,0.679079,0.005880,nan,nan
577,0.722679,0.005288,nan,nan
578,0.615660,0.007461,nan,nan
579,0.468407,0.009729,0.628769,0.379232
580,0.678652,0.013321,nan,nan
581,0.750290,0.010750,0.057793,1.237725
582,0.592969,0.009367,0.678589,0.140400
583,0.591215,0.003609,0.655171,0.120217
584,0.337560,0.034601,nan,nan
585,0.244284,0.027168,nan,nan
586,0.169639,0.044009,nan,nan
587,0.822712,0.019749,0.179361,0.978106
588,0.822856,0.019265,0.333637,0.675361
589,0.780312,0.013542,0.170875,0.714050
590,0.784278,0.015708,0.347863,0.547139
591,0.671042,0.007455,0.674180,0.305418
592,0.615884,0.006630,0.704488,0.332835
593,0.789006,0.012554,0.734376,0.356690
594,0.739911,0.024767,0.739018,0.407794
595,0.667273,0.005455,0.380372,0.709110
596,0.666573,0.005490,0.408887,0.646349
597,0.797930,0.013597,0.623130,0.224514
598,0.808842,0.015437,0.615513,0.229246
599,0.613575,0.020720,0.659888,0.113338
600,0.592077,0.028318,0.647285,0.171104
601,0.746082,0.023780,0.770439,0.079622
602,0.819193,0.023437,0.384036,0.717130
603,0.803923,0.015652,0.408196,0.636887
604,0.808752,0.015711,0.356199,0.623860
605,0.654431,0.008828,0.387690,0.483098
606,0.708431,0.010695,0.354390,0.698201
607,0.815711,0.019814,0.304971,0.607419
608,0.760392,0.023481,0.377706,0.415054
609,0.526309,0.012506,0.808088,0.077378
610,0.501153,0.015282,0.783399,0.073429
611,0.297039,0.010256,0.713088,0.622829
612,0.385594,0.008713,0.745860,0.212688
613,0.672908,0.013034,0.213146,0.887656
614,0.679667,0.011474,0.514880,0.715670
615,0.343471,0.012975,0.623251,0.555541
616,0.408681,0.014986,0.623078,0.529098
617,0.754194,0.015719,0.658237,0.192697
618,0.648031,0.010453,0.678259,0.243289
619,0.544978,0.003733,0.662823,0.174968
620,0.568295,0.005573,0.647952,0.193320
621,0.507309,0.020924,0.598354,0.481184
622,0.494647,0.016285,0.601825,0.477796
623,0.694012,0.010118,0.792067,0.135688
624,0.660816,0.014029,0.812550,0.170617
625,0.637692,0.009716,0.325519,0.802197
626,0.639251,0.011050,0.326143,0.772784
627,0.602222,0.005038,0.654088,0.517033
628,0.669650,0.008035,0.544059,0.472159
629,0.768924,0.024341,0.444587,0.715591
630,0.768854,0.022324,0.397791,0.738161
631,0.660036,0.009056,0.345533,0.727858
632,0.656822,0.006276,0.374078,0.723851
633,0.577236,0.024782,0.713743,0.255525
634,0.343710,0.021748,0.795061,0.232688
635,0.335068,0.012777,0.768239,0.429683
636,0.504519,0.013625,0.734387,0.481970
637,0.519001,0.011149,0.746494,0.475978
638,0.351625,0.016291,0.772071,0.462907
