time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6
4.320000000000000000e+03,3.397803084226325154e-05,2.684032187971752137e-05,1.820267207222059369e-04,9.484475478529930115e-03,1.963567337952554226e-04,1.073458042810671031e-05,9.402768046129494905e-05
4.380000000000000000e+03,3.392908183741383255e-05,2.696312185435090214e-05,1.820246106944978237e-04,9.484144859015941620e-03,1.953514292836189270e-04,1.073049043043283746e-05,9.402637078892439604e-05
4.440000000000000000e+03,3.388038749108090997e-05,2.708777537918649614e-05,1.820224133552983403e-04,9.483810514211654663e-03,1.943755196407437325e-04,1.072654958989005536e-05,9.402515570400282741e-05
4.500000000000000000e+03,3.383200237294659019e-05,2.721429700613953173e-05,1.820201869122684002e-04,9.483476169407367706e-03,1.934275787789374590e-04,1.072274699254194275e-05,9.402383147971704602e-05
4.560000000000000000e+03,3.378390829311683774e-05,2.734268491622060537e-05,1.820180332288146019e-04,9.483145549893379211e-03,1.925066753756254911e-04,1.071907718142028898e-05,9.402259456692263484e-05
4.620000000000000000e+03,3.373607250978238881e-05,2.747297003224957734e-05,1.820158358896151185e-04,9.482810273766517639e-03,1.916122710099443793e-04,1.071553651854628697e-05,9.402131399838253856e-05
4.680000000000000000e+03,3.368852776475250721e-05,2.760514144029002637e-05,1.820135657908394933e-04,9.482476860284805298e-03,1.907429541461169720e-04,1.071211772796232253e-05,9.402002615388482809e-05
4.740000000000000000e+03,3.364126678206957877e-05,2.773921551124658436e-05,1.820113393478095531e-04,9.482137858867645264e-03,1.898977498058229685e-04,1.070881262421607971e-05,9.401874558534473181e-05
4.800000000000000000e+03,3.359428228577598929e-05,2.787523226288612932e-05,1.820090401452034712e-04,9.481807239353656769e-03,1.890760904643684626e-04,1.070561756932875142e-05,9.401744318893179297e-05
4.860000000000000000e+03,3.354756699991412461e-05,2.801316986733581871e-05,1.820070028770714998e-04,9.481463581323623657e-03,1.882771321106702089e-04,1.070252710633212700e-05,9.401613351656123996e-05
4.920000000000000000e+03,3.350111001054756343e-05,2.815303923853207380e-05,1.820046745706349611e-04,9.481119923293590546e-03,1.874999288702383637e-04,1.069953850674210116e-05,9.401486022397875786e-05
4.980000000000000000e+03,1.185023052130418364e-06,2.913929711212404072e-05,1.074391156435012817e-01,1.252139099960913882e-05,3.810381531366147101e-05,1.066915046976646408e-05,3.301649820059537888e-03
5.040000000000000000e+03,7.831052789697423577e-05,8.165348117472603917e-05,3.641489311121404171e-04,1.448299386538565159e-03,7.814510172465816140e-05,1.246601277671288699e-05,1.593321358086541295e-04
5.100000000000000000e+03,7.543211540905758739e-05,1.185094733955338597e-04,3.694186161737889051e-04,1.370973768644034863e-03,7.936696056276559830e-05,1.187485031550750136e-05,1.616512599866837263e-04
5.160000000000000000e+03,7.250401540659368038e-05,1.717500854283571243e-04,3.762848791666328907e-04,1.282471232116222382e-03,7.991542952368035913e-05,1.155514928541379049e-05,1.646033342694863677e-04
5.220000000000000000e+03,6.986400694586336613e-05,2.347310364712029696e-04,3.831363574136048555e-04,1.205201726406812668e-03,8.009078737813979387e-05,1.135604725277516991e-05,1.674988598097115755e-04
5.280000000000000000e+03,6.743743870174512267e-05,2.930016489699482918e-04,3.899861185345798731e-04,1.137216342613101006e-03,8.003340190043672919e-05,1.121991135732969269e-05,1.703473535599187016e-04
5.340000000000000000e+03,6.518323061754927039e-05,3.381442220415920019e-04,3.968601231463253498e-04,1.076996792107820511e-03,7.982926763361319900e-05,1.112069003283977509e-05,1.731558586470782757e-04
5.400000000000000000e+03,4.341247258707880974e-04,3.681335656438022852e-04,1.034616434480994940e-04,9.889408946037292480e-03,8.477403753204271197e-05,1.105159753933548927e-05,5.734829755965620279e-05
5.460000000000000000e+03,4.265540046617388725e-04,3.687734424602240324e-04,1.084343166439794004e-04,9.880561381578445435e-03,8.363715460291132331e-05,1.083722600014880300e-05,5.818127829115837812e-05
5.520000000000000000e+03,4.174498608335852623e-04,3.716914798133075237e-04,1.124556365539319813e-04,9.873153641819953918e-03,8.363613596884533763e-05,1.073419934982666746e-05,5.894072455703280866e-05
5.580000000000000000e+03,4.052237491123378277e-04,3.758624079637229443e-04,1.153168705059215426e-04,9.867665357887744904e-03,8.485560829285532236e-05,1.068076744559220970e-05,5.960910857538692653e-05
5.640000000000000000e+03,3.859508433379232883e-04,3.803065046668052673e-04,1.171530093415640295e-04,9.863868355751037598e-03,8.768404222792014480e-05,1.065120432031108066e-05,6.025146649335511029e-05
5.700000000000000000e+03,3.515489806886762381e-04,3.844774910248816013e-04,1.182474952656775713e-04,9.861249476671218872e-03,9.283023246098309755e-05,1.063376657839398831e-05,6.099592428654432297e-05
5.760000000000000000e+03,2.882320550270378590e-04,3.881463198922574520e-04,1.189136382890865207e-04,9.859162382781505585e-03,1.012337743304669857e-04,1.062273713614558801e-05,6.201674841577187181e-05
5.820000000000000000e+03,1.924673124449327588e-04,3.912566171493381262e-04,1.195225850096903741e-04,9.856961667537689209e-03,1.137483850470744073e-04,1.061522380041424185e-05,6.352218042593449354e-05
5.880000000000000000e+03,1.085215044440701604e-04,3.938279114663600922e-04,1.206155066029168665e-04,9.853809140622615814e-03,1.304706383962184191e-04,1.060972226696321741e-05,6.572491838596761227e-05
5.940000000000000000e+03,6.548249075422063470e-05,3.959067980758845806e-04,1.229650806635618210e-04,9.848336689174175262e-03,1.499382196925580502e-04,1.060541399056091905e-05,6.876993575133383274e-05
6.000000000000000000e+03,1.003926513476471882e-06,1.006752540888555814e-06,1.195995062589645386e-01,1.029992654366651550e-05,7.981022447347640991e-02,3.495242272038012743e-04,5.015556234866380692e-05
6.060000000000000000e+03,1.006917159429576714e-06,1.045598310156492516e-06,1.193601116538047791e-01,1.521896683698287234e-05,7.965081185102462769e-02,3.481895255390554667e-04,5.574812894337810576e-05
6.120000000000000000e+03,1.010026494441262912e-06,1.082155904441606253e-06,1.193581745028495789e-01,2.704637154238298535e-05,7.957492768764495850e-02,3.471672243904322386e-04,5.581139339483343065e-05
