time,theta_0,theta_1,theta_2,theta_3
7.212020111083984375e+01,8.142498016357421875e+00,9.179177284240722656e+00,1.484123468399047852e+00,1.287394911050796509e-01
7.262103271484375000e+01,8.136533737182617188e+00,9.184155464172363281e+00,1.495215892791748047e+00,1.254013180732727051e-01
7.312187194824218750e+01,8.131930351257324219e+00,9.188759803771972656e+00,1.503429770469665527e+00,1.222673431038856506e-01
7.362270355224609375e+01,8.128195762634277344e+00,9.192999839782714844e+00,1.509822845458984375e+00,1.193763092160224915e-01
7.412354278564453125e+01,8.125095367431640625e+00,9.196883201599121094e+00,1.514968991279602051e+00,1.167358234524726868e-01
7.462437438964843750e+01,8.122419357299804688e+00,9.200434684753417969e+00,1.519278049468994141e+00,1.143391206860542297e-01
7.512520599365234375e+01,8.120082855224609375e+00,9.203672409057617188e+00,1.522962570190429688e+00,1.121726483106613159e-01
7.562604522705078125e+01,8.118010520935058594e+00,9.206614494323730469e+00,1.526172876358032227e+00,1.102193817496299744e-01
7.612687683105468750e+01,8.116141319274902344e+00,9.209292411804199219e+00,1.529034256935119629e+00,1.084613725543022156e-01
7.662771606445312500e+01,8.114469528198242188e+00,9.211722373962402344e+00,1.531578183174133301e+00,1.068809032440185547e-01
7.712854766845703125e+01,8.112938880920410156e+00,9.213921546936035156e+00,1.533887147903442383e+00,1.054614409804344177e-01
7.762937927246093750e+01,8.111555099487304688e+00,9.215911865234375000e+00,1.535964846611022949e+00,1.041872352361679077e-01
7.813021850585937500e+01,8.110307693481445312e+00,9.217714309692382812e+00,1.537835359573364258e+00,1.030435785651206970e-01
7.863105010986328125e+01,8.109153747558593750e+00,9.219341278076171875e+00,1.539552569389343262e+00,1.020180284976959229e-01
7.913188934326171875e+01,8.108126640319824219e+00,9.220806121826171875e+00,1.541086673736572266e+00,1.010982096195220947e-01
7.963272094726562500e+01,8.107176780700683594e+00,9.222135543823242188e+00,1.542502999305725098e+00,1.002740785479545593e-01
8.013355255126953125e+01,8.106322288513183594e+00,9.223328590393066406e+00,1.543773770332336426e+00,9.953526407480239868e-02
8.063439178466796875e+01,8.105558395385742188e+00,9.224403381347656250e+00,1.544912219047546387e+00,9.887327253818511963e-02
8.113522338867187500e+01,8.104850769042968750e+00,9.225371360778808594e+00,1.545965552330017090e+00,9.828042984008789062e-02
8.163606262207031250e+01,8.104226112365722656e+00,9.226239204406738281e+00,1.546893954277038574e+00,9.774906933307647705e-02
8.213689422607421875e+01,8.103643417358398438e+00,9.227023124694824219e+00,1.547753572463989258e+00,9.727403521537780762e-02
8.263772583007812500e+01,8.103127479553222656e+00,9.227724075317382812e+00,1.548518419265747070e+00,9.684838354587554932e-02
8.313856506347656250e+01,8.102672576904296875e+00,9.228353500366210938e+00,1.549199581146240234e+00,9.646764397621154785e-02
8.363939666748046875e+01,8.102243423461914062e+00,9.228920936584472656e+00,1.549831390380859375e+00,9.612725675106048584e-02
8.414023590087890625e+01,8.101878166198730469e+00,9.229422569274902344e+00,1.550380587577819824e+00,9.582288563251495361e-02
8.464106750488281250e+01,8.263103485107421875e+00,9.262173652648925781e+00,1.297025084495544434e+00,8.129590749740600586e-02
8.514190673828125000e+01,8.243409156799316406e+00,9.262830734252929688e+00,1.330587983131408691e+00,8.210409432649612427e-02
8.564273834228515625e+01,8.238179206848144531e+00,9.263608932495117188e+00,1.343202710151672363e+00,8.229248225688934326e-02
8.614356994628906250e+01,8.235493659973144531e+00,9.264112472534179688e+00,1.349606156349182129e+00,8.231680840253829956e-02
8.664440917968750000e+01,8.233887672424316406e+00,9.264482498168945312e+00,1.353347063064575195e+00,8.228066563606262207e-02
8.714524078369140625e+01,8.232856750488281250e+00,9.264780044555664062e+00,1.355683565139770508e+00,8.221943676471710205e-02
8.764608001708984375e+01,8.232194900512695312e+00,9.265019416809082031e+00,1.357161164283752441e+00,8.214746415615081787e-02
8.814691162109375000e+01,8.840159416198730469e+00,8.321079254150390625e+00,3.208750784397125244e-01,1.370838165283203125e+00
8.864774322509765625e+01,8.668692588806152344e+00,8.865175247192382812e+00,6.454588770866394043e-01,5.180318951606750488e-01
8.914858245849609375e+01,8.506317138671875000e+00,9.036740303039550781e+00,9.146496653556823730e-01,2.900624871253967285e-01
8.964941406250000000e+01,8.435824394226074219e+00,9.109788894653320312e+00,1.036519527435302734e+00,2.107957601547241211e-01
9.015025329589843750e+01,8.405033111572265625e+00,9.145734786987304688e+00,1.089386343955993652e+00,1.761419028043746948e-01
9.065108489990234375e+01,8.388615608215332031e+00,9.168188095092773438e+00,1.117504715919494629e+00,1.562985330820083618e-01
9.115191650390625000e+01,8.377709388732910156e+00,9.185080528259277344e+00,1.136252880096435547e+00,1.423603743314743042e-01
9.165275573730468750e+01,8.416214942932128906e+00,9.220560073852539062e+00,1.083825826644897461e+00,1.187946423888206482e-01
9.215358734130859375e+01,8.405706405639648438e+00,9.231210708618164062e+00,1.102021098136901855e+00,1.118413358926773071e-01
9.265442657470703125e+01,8.399616241455078125e+00,9.240797042846679688e+00,1.113655090332031250e+00,1.056938320398330688e-01
9.315525817871093750e+01,8.394655227661132812e+00,9.249079704284667969e+00,1.122830152511596680e+00,1.004661247134208679e-01
9.365608978271484375e+01,8.390483856201171875e+00,9.256254196166992188e+00,1.130386471748352051e+00,9.603673964738845825e-02
9.415692901611328125e+01,8.386929512023925781e+00,9.262476921081542969e+00,1.136738061904907227e+00,9.228011965751647949e-02
9.465776062011718750e+01,8.383867263793945312e+00,9.267890930175781250e+00,1.142156720161437988e+00,8.908753842115402222e-02
9.515859985351562500e+01,8.381220817565917969e+00,9.272593498229980469e+00,1.146798253059387207e+00,8.636637032032012939e-02
9.565943145751953125e+01,8.378913879394531250e+00,9.276695251464843750e+00,1.150826096534729004e+00,8.404114097356796265e-02
9.616027069091796875e+01,8.376909255981445312e+00,9.280269622802734375e+00,1.154313206672668457e+00,8.204691857099533081e-02
9.666110229492187500e+01,8.375153541564941406e+00,9.283395767211914062e+00,1.157362222671508789e+00,8.033297955989837646e-02
9.716193389892578125e+01,8.373613357543945312e+00,9.286123275756835938e+00,1.160024642944335938e+00,7.885542511940002441e-02
9.766277313232421875e+01,8.372270584106445312e+00,9.288509368896484375e+00,1.162351131439208984e+00,7.757861167192459106e-02
9.816360473632812500e+01,8.371078491210937500e+00,9.290603637695312500e+00,1.164399862289428711e+00,7.647328823804855347e-02
9.866444396972656250e+01,8.370043754577636719e+00,9.292431831359863281e+00,1.166190862655639648e+00,7.551358640193939209e-02
9.916527557373046875e+01,8.369120597839355469e+00,9.294043540954589844e+00,1.167776346206665039e+00,7.467941939830780029e-02
9.966610717773437500e+01,8.368313789367675781e+00,9.295453071594238281e+00,1.169166445732116699e+00,7.395303994417190552e-02
1.001669464111328125e+02,8.367609024047851562e+00,9.296688079833984375e+00,1.170380353927612305e+00,7.331934571266174316e-02
1.006677780151367188e+02,8.366977691650390625e+00,9.297779083251953125e+00,1.171463131904602051e+00,7.276612520217895508e-02
1.011686172485351562e+02,8.366432189941406250e+00,9.298733711242675781e+00,1.172405242919921875e+00,7.228263467550277710e-02
1.016694488525390625e+02,8.365940093994140625e+00,9.299575805664062500e+00,1.173248291015625000e+00,7.185927033424377441e-02
1.021702804565429688e+02,8.365513801574707031e+00,9.300314903259277344e+00,1.173985004425048828e+00,7.148865610361099243e-02
1.026711196899414062e+02,8.365140914916992188e+00,9.300964355468750000e+00,1.174623727798461914e+00,7.116355001926422119e-02
