time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5
1.668000000000000000e+04,4.042438013129867613e-05,6.184560246765613556e-03,7.254546653712168336e-05,4.543727118289098144e-05,1.013536348182242364e-05,1.173249445855617523e-03
1.674000000000000000e+04,1.140491804108023643e-06,1.198600754141807556e-01,1.143509871326386929e-05,4.534415347734466195e-05,1.013539076666347682e-05,3.492980496957898140e-03
1.680000000000000000e+04,1.213923042087117210e-06,1.198413297533988953e-01,1.181152674689656124e-05,4.534242179943248630e-05,1.013539258565288037e-05,3.491346957162022591e-03
1.686000000000000000e+04,1.613063318472995888e-06,1.197044849395751953e-01,1.398246058670338243e-05,4.534174513537436724e-05,1.013539531413698569e-05,3.480600658804178238e-03
1.692000000000000000e+04,3.968822784372605383e-05,3.420327603816986084e-02,5.983220762573182583e-05,4.541448652162216604e-05,1.013539804262109101e-05,1.706018578261137009e-03
1.698000000000000000e+04,4.101915328647010028e-05,3.654338652268052101e-03,7.833082054276019335e-05,4.544096373138017952e-05,1.013539986161049455e-05,9.909389773383736610e-04
1.704000000000000000e+04,3.479413135210052133e-05,4.863130743615329266e-04,8.280075853690505028e-04,4.566898860502988100e-05,1.013565633911639452e-05,1.940759248100221157e-04
1.710000000000000000e+04,3.400255081942304969e-05,4.166076891124248505e-03,7.666708552278578281e-05,4.554293991532176733e-05,1.013565633911639452e-05,1.036453642882406712e-03
1.716000000000000000e+04,3.387843025848269463e-05,4.658162128180265427e-03,7.534160249633714557e-05,4.554412225843407214e-05,1.013565633911639452e-05,1.076486427336931229e-03
1.722000000000000000e+04,3.375470259925350547e-05,5.269396118819713593e-03,7.406406075460836291e-05,4.554521729005500674e-05,1.013565633911639452e-05,1.118434825912117958e-03
1.728000000000000000e+04,3.363071300555020571e-05,6.031387485563755035e-03,7.284148159669712186e-05,4.554617044050246477e-05,1.013565542962169275e-05,1.161997905001044273e-03
1.734000000000000000e+04,1.073636667570099235e-06,1.198719590902328491e-01,1.115359555114991963e-05,4.548432116280309856e-05,1.013575911201769486e-05,3.493933472782373428e-03
1.740000000000000000e+04,1.087113105313619599e-06,1.198689863085746765e-01,1.121890181821072474e-05,4.547988646663725376e-05,1.013575911201769486e-05,3.493575146421790123e-03
1.746000000000000000e+04,1.109365257434546947e-06,1.198643073439598083e-01,1.132413490267936140e-05,4.547564822132699192e-05,1.013575729302829131e-05,3.493100637570023537e-03
1.752000000000000000e+04,1.152155391537235118e-06,1.198544725775718689e-01,1.153013181465212256e-05,4.547165735857561231e-05,1.013575638353358954e-05,3.492234274744987488e-03
1.758000000000000000e+04,1.271171527150727343e-06,1.198224723339080811e-01,1.213690393342403695e-05,4.546809213934466243e-05,1.013575547403888777e-05,3.489597700536251068e-03
1.764000000000000000e+04,3.124986687907949090e-05,7.456791354343295097e-04,5.300457123667001724e-04,4.571251702145673335e-05,1.013597102428320795e-05,2.486547746229916811e-04
1.770000000000000000e+04,3.094759085797704756e-05,3.241435624659061432e-03,8.057148079387843609e-05,4.564981281873770058e-05,1.013596738630440086e-05,9.363764547742903233e-04
1.776000000000000000e+04,3.086965443799272180e-05,3.523909719660878181e-03,7.912026921985670924e-05,4.565121344057843089e-05,1.013596374832559377e-05,9.706834680400788784e-04
1.782000000000000000e+04,3.079211091971956193e-05,3.867981256917119026e-03,7.770662341499701142e-05,4.565257768263109028e-05,1.013596192933619022e-05,1.007256447337567806e-03
1.788000000000000000e+04,3.071457103942520916e-05,4.291394259780645370e-03,7.633205677848309278e-05,4.565385097521357238e-05,1.013595920085208490e-05,1.046121818944811821e-03
1.794000000000000000e+04,3.041695526917465031e-05,4.820128437131643295e-03,7.499995263060554862e-05,4.566561256069689989e-05,1.013598375720903277e-05,1.087230048142373562e-03
1.800000000000000000e+04,3.034086148545611650e-05,5.479443818330764771e-03,7.371586252702400088e-05,4.566666393657214940e-05,1.013598102872492746e-05,1.130371354520320892e-03
1.806000000000000000e+04,3.026335798494983464e-05,6.307041738182306290e-03,7.248667679959908128e-05,4.566751158563420177e-05,1.013597830024082214e-05,1.175172394141554832e-03
1.812000000000000000e+04,3.018409188371151686e-05,7.341055665165185928e-03,7.132415339583531022e-05,4.566822826745919883e-05,1.013597466226201504e-05,1.220936770550906658e-03
1.818000000000000000e+04,3.010308319062460214e-05,8.610865101218223572e-03,7.024300430202856660e-05,4.566867573885247111e-05,1.013597193377790973e-05,1.266625709831714630e-03
1.824000000000000000e+04,2.976600080728530884e-05,3.402736037969589233e-04,1.676060725003480911e-03,4.605701178661547601e-05,1.013607925415271893e-05,1.486636901972815394e-04
