time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15
8.829431533813476562e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.448983907699584961e-01,4.462891817092895508e-01,1.001257374882698059e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066792845726013184e-01,7.186458110809326172e-01
8.929765701293945312e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.448758006095886230e-01,4.462656676769256592e-01,1.001300886273384094e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066758871078491211e-01,7.187393307685852051e-01
9.030099868774414062e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.448531508445739746e-01,4.462420642375946045e-01,1.001345813274383545e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066724300384521484e-01,7.188326716423034668e-01
9.130434989929199219e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.448308587074279785e-01,4.462185204029083252e-01,1.001390591263771057e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066691517829895020e-01,7.189257144927978516e-01
9.230769157409667969e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.448086261749267578e-01,4.461942613124847412e-01,1.001436933875083923e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066656947135925293e-01,7.190182805061340332e-01
9.331103324890136719e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.447865128517150879e-01,4.461663067340850830e-01,1.001488491892814636e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066622376441955566e-01,7.191109061241149902e-01
9.431438446044921875e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.447645783424377441e-01,4.461421966552734375e-01,1.001535803079605103e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066589593887329102e-01,7.192030549049377441e-01
9.531772613525390625e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.447422266006469727e-01,4.461176991462707520e-01,1.001583635807037354e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066555619239807129e-01,7.192947268486022949e-01
9.632106781005859375e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.447205901145935059e-01,4.460932016372680664e-01,1.001631766557693481e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066522836685180664e-01,7.193862199783325195e-01
9.732441902160644531e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.446987152099609375e-01,4.460645318031311035e-01,1.001687571406364441e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.066490054130554199e-01,7.194777727127075195e-01
