experiment,label,P,sample_idx,species,nrmse
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,252,M,0.9958966131824177
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,258,A,0.06975662611564987
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,258,M,0.9017030821047879
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,260,A,0.07275060055011419
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,260,M,1.003704852034918
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,267,A,0.04480495917131138
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,267,M,0.8963955764894118
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,277,A,0.06654275285722329
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,277,M,0.8826835048340503
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,280,A,0.0740240066064694
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,280,M,0.8722148137451238
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,282,A,0.08262380645852399
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,282,M,1.052168297398022
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,284,A,0.044751925497139376
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,284,M,0.9014434929626176
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,289,A,0.054197183282120524
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,289,M,0.8701902366877818
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,298,A,0.06847147767432193
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,298,M,0.7948226617100486
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,299,A,0.04813149947343983
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,299,M,0.9443960754387157
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,304,A,0.06885752529498415
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,304,M,0.8789013689080077
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,310,A,0.09589876386633438
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,310,M,0.9198984681013884
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,316,A,0.1042461309421926
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,316,M,0.8964092474372478
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,321,A,0.05289256312687133
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,321,M,0.8433081521473762
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,323,A,0.09148934976293766
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,323,M,0.947119041878317
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,326,A,0.17206314510221088
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,326,M,0.71715398199417
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,332,A,0.06675249553692741
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,332,M,0.9241038621458013
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,338,A,0.06761796915539958
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,338,M,1.0080606088180526
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,341,A,0.07358511644674598
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,341,M,0.9876330800999735
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,346,A,0.06401222403810654
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,346,M,0.956055385429025
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,348,A,0.0658284218105943
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,348,M,0.8666877399179072
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,352,A,0.07223895737443778
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,352,M,0.8884875377596247
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,355,A,0.058495980372424025
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,355,M,0.8730477409211878
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,359,A,0.07708104881778528
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,359,M,0.8674332252479499
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,368,A,0.0495744424876095
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,368,M,1.0067015534571397
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,369,A,0.06448836587767663
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,369,M,0.9335740491006671
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,374,A,0.143334894393812
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,374,M,0.846333781446419
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,376,A,0.20074780446034743
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,376,M,0.4853300629692576
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,377,A,0.06649842381914665
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,377,M,0.8561896075062866
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,385,A,0.06967904185221191
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,385,M,0.970865225186463
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,387,A,0.06616972943930821
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,387,M,0.8739906488248378
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,391,A,0.06108076462569098
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,391,M,0.8172105965708385
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,394,A,0.06438995579506945
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,394,M,0.8802329596991517
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,398,A,0.06603392799422753
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,398,M,0.8246781627256392
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,403,A,0.09608196286144653
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,403,M,1.1202300878239537
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,404,A,0.08328408477202534
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,404,M,0.9752079963212625
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,408,A,0.0669445988252215
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,408,M,0.9449612634029712
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,410,A,0.0838330414185881
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,410,M,0.9348234835220309
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,414,A,0.0824199537250365
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,414,M,0.9285176109341693
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,416,A,0.06361419061375131
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,416,M,1.0181462359311286
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,419,A,0.048207706233174066
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,419,M,0.9204353258461444
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,425,A,0.0700910411330623
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,425,M,0.9609228218508548
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,426,A,0.05323470445187024
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,426,M,0.9568210936240467
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,428,A,0.08083222592142822
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,428,M,0.9907352252024118
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,435,A,0.060559798679318495
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,435,M,0.8446836453797634
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,439,A,0.05507790908585489
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,439,M,0.8584016887376975
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,450,A,0.08046743636877442
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,450,M,0.8786562297114441
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,452,A,0.064993543114542
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,452,M,0.9669160956655745
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,462,A,0.13037597040604137
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,462,M,0.8808336015374932
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,468,A,0.047021988693272364
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,468,M,0.9474554239954903
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,484,A,0.08057864106635669
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,484,M,0.9505287897530664
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,488,A,0.055588607488645254
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,488,M,0.9128199634456996
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,491,A,0.06749754302517108
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,491,M,0.9901784504287263
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,496,A,0.07958955129195765
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,496,M,0.8384476111520964
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,507,A,0.0717162424793874
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,507,M,0.9089721431346364
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,515,A,0.05964259676804269
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,515,M,1.062593499006023
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,520,A,0.07281399511759847
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,520,M,0.7514762170222793
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,522,A,0.06528749903047629
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,522,M,0.8954877210968399
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,523,A,0.10136772636421917
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,523,M,0.8739611389298171
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,525,A,0.05781613490179221
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,525,M,0.957479466794874
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,526,A,0.07017438138049152
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,526,M,0.8329917411176375
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,530,A,0.09709190468092517
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,530,M,0.7897915615979706
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,531,A,0.06698308375876144
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,531,M,0.8623312113623042
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,533,A,0.06351850668236542
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,533,M,0.8311345729666924
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,557,A,0.0685271759970922
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,557,M,0.9019987360267029
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,563,A,0.09496064633534844
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,563,M,0.9457939017279702
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,564,A,0.06952748274411888
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,564,M,0.8743109377184314
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,572,A,0.05088061566748456
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,572,M,0.9779652062466071
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,575,A,0.06478625507754635
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,575,M,0.8583532681521603
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,584,A,0.06925650412472584
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,584,M,0.7931902542284089
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,587,A,0.08043931683864211
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,587,M,1.0038213080592262
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,589,A,0.06676573450710424
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,589,M,0.7145587435075098
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,590,A,0.07005483349346571
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,590,M,0.8677514412403428
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,598,A,0.06402225961446127
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,598,M,0.9013301592569523
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,600,A,0.07385379679043855
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,600,M,1.0469312805032154
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,602,A,0.07726483720910872
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,602,M,0.9162289492769703
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,603,A,0.10684831468027141
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,603,M,0.8306675890347112
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,604,A,0.09895170065690956
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,604,M,0.905078921390699
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,612,A,0.0707188271262381
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,612,M,0.7862899235682194
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,616,A,0.05553012374778043
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,616,M,0.9112586755183958
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,619,A,0.047315737766863396
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,619,M,0.8352177371976311
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,620,A,0.1006402339290797
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,620,M,0.5457159057289932
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,625,A,0.07481886533717858
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,625,M,0.9367598693251539
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,632,A,0.22484498820508322
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,632,M,0.4035636758959462
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,638,A,0.097811023722967
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,638,M,0.9102323938837941
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,639,A,0.07518204905352623
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,639,M,0.9565080083948541
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,641,A,0.05597867304029288
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,641,M,0.8298031159589598
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,644,A,0.06725576072234182
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,644,M,0.9201070743552638
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,646,A,0.09746368362983648
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,646,M,0.9618540060648083
