step,time,model,Base,Mod,Am,MOF_C
40,4.0635,GRU,0.109998,0.549013,0.374023,0.151438
41,4.1639,GRU,0.089999,0.548949,0.382431,0.155239
42,4.2642,GRU,0.073636,0.548887,0.389297,0.158387
43,4.3645,GRU,0.060248,0.548826,0.3949,0.160994
44,4.4649,GRU,0.049294,0.548766,0.399472,0.16315
45,4.5652,GRU,0.040332,0.548707,0.4032,0.164933
46,4.6656,GRU,0.032999,0.548649,0.406241,0.166407
47,4.7659,GRU,0.026999,0.548592,0.40872,0.167624
48,4.8662,GRU,0.02209,0.548535,0.410739,0.168629
49,4.9666,GRU,0.018074,0.548478,0.412385,0.169458
50,5.0669,GRU,0.014788,0.548422,0.413726,0.170141
51,5.1672,GRU,0.012099,0.548365,0.414817,0.170704
52,5.2676,GRU,0.009899,0.54831,0.415706,0.171168
53,5.3679,GRU,0.0081,0.548254,0.41643,0.171549
54,5.4682,GRU,0.006627,0.548198,0.417019,0.171863
55,5.5686,GRU,0.005422,0.548143,0.417498,0.172121
56,5.6689,GRU,0.004436,0.548087,0.417888,0.172333
57,5.7692,GRU,0.00363,0.548032,0.418205,0.172507
58,5.8696,GRU,0.00297,0.547977,0.418463,0.172649
59,5.9699,GRU,0.00243,0.547922,0.418673,0.172766
60,6.0702,GRU,0.001988,0.547867,0.418844,0.172862
61,6.1706,GRU,0.001627,0.547812,0.418982,0.172941
62,6.2709,GRU,0.001331,0.547756,0.419095,0.173005
63,6.3712,GRU,0.001089,0.547701,0.419187,0.173057
64,6.4716,GRU,0.000891,0.547646,0.419262,0.1731
65,6.5719,GRU,0.000729,0.547591,0.419322,0.173135
66,6.6722,GRU,0.000596,0.547536,0.419372,0.173164
67,6.7726,GRU,0.000488,0.547481,0.419412,0.173187
68,6.8729,GRU,0.000399,0.547427,0.419444,0.173206
69,6.9732,GRU,0.000327,0.547372,0.419471,0.173222
70,7.0736,GRU,0.000267,0.547317,0.419492,0.173234
71,7.1739,GRU,0.000219,0.547262,0.41951,0.173245
72,7.2742,GRU,0.000179,0.547207,0.419524,0.173253
73,7.3746,GRU,0.000146,0.547152,0.419535,0.17326
74,7.4749,GRU,0.00012,0.547097,0.419545,0.173265
75,7.5753,GRU,9.8e-05,0.547042,0.419552,0.17327
76,7.6756,GRU,8e-05,0.546987,0.419559,0.173274
77,7.7759,GRU,6.6e-05,0.546932,0.419564,0.173276
78,7.8763,GRU,5.4e-05,0.546877,0.419568,0.173279
79,7.9766,GRU,4.4e-05,0.546823,0.419571,0.173281
80,8.0769,GRU,0.818222,1.096712,0.480169,0.209112
81,8.1773,GRU,0.669458,1.096602,0.529503,0.238129
82,8.2776,GRU,0.547742,1.096492,0.569598,0.261575
83,8.3779,GRU,0.448154,1.096382,0.602195,0.280512
84,8.4783,GRU,0.366673,1.096272,0.628699,0.2958
85,8.5786,GRU,0.300007,1.096162,0.65025,0.308135
86,8.6789,GRU,0.245461,1.096052,0.667774,0.318081
87,8.7793,GRU,0.200833,1.095942,0.682024,0.326097
88,8.8796,GRU,0.164319,1.095832,0.693612,0.332553
89,8.9799,GRU,0.134444,1.095723,0.703036,0.33775
90,9.0803,GRU,0.11,1.095613,0.710701,0.34193
91,9.1806,GRU,0.09,1.095503,0.716934,0.345292
92,9.2809,GRU,0.073637,1.095393,0.722003,0.347992
93,9.3813,GRU,0.060249,1.095283,0.726127,0.350161
94,9.4816,GRU,0.049295,1.095173,0.729481,0.351902
95,9.5819,GRU,0.040332,1.095063,0.732209,0.353298
96,9.6823,GRU,0.032999,1.094953,0.734429,0.354418
97,9.7826,GRU,0.026999,1.094843,0.736235,0.355315
98,9.8829,GRU,0.022091,1.094733,0.737704,0.356033
99,9.9833,GRU,0.018074,1.094624,0.738899,0.356607
100,10.0836,GRU,0.014788,1.094514,0.739872,0.357067
101,10.1839,GRU,0.012099,1.094404,0.740663,0.357434
102,10.2843,GRU,0.0099,1.094294,0.741307,0.357728
103,10.3846,GRU,0.0081,1.094185,0.741832,0.357962
104,10.485,GRU,0.006627,1.094075,0.742259,0.358149
105,10.5853,GRU,0.005422,1.093965,0.742606,0.358298
