step,time,model,Base,Mod,Am,MOF_C
94,9.4816,GRU,2e-06,0.549173,0.421389,0.173199
95,9.5819,GRU,2e-06,0.549118,0.421389,0.173199
96,9.6823,GRU,1e-06,0.549063,0.421389,0.173199
97,9.7826,GRU,1e-06,0.549008,0.421389,0.173199
98,9.8829,GRU,1e-06,0.548953,0.421389,0.173199
99,9.9833,GRU,1e-06,0.548897,0.421389,0.173199
100,10.0836,GRU,1e-06,0.548842,0.421389,0.173199
101,10.1839,GRU,1e-06,0.548787,0.421389,0.173199
102,10.2843,GRU,0.0,0.548732,0.421389,0.173199
103,10.3846,GRU,0.0,0.548677,0.421389,0.173199
104,10.485,GRU,0.0,0.548622,0.421389,0.173199
105,10.5853,GRU,0.0,0.548567,0.421389,0.173199
106,10.6856,GRU,0.0,0.548512,0.421389,0.173199
